"Dato for upload";"ISO-uge";"Forventet antal dødsfald";"Forventet antal dødsfald - 2 z-score";"Forventet antal dødsfald + 2 z-score";"Korr. registreret antal dødsfald";"Overdødelighed";"Z-score"
2022-03-15;"2016-W01";1073.624;990.763764039716;1158.67346081531;1132;58.37637;1.378189
2022-03-15;"2016-W02";1076.974;993.650596150536;1162.50443543687;1105;28.02606;0.6609895
2022-03-15;"2016-W03";1079.441;995.828081491442;1165.27130712851;1090;10.55861;0.2488304
2022-03-15;"2016-W04";1080.982;997.273171914999;1166.91012111436;1151;70.01753;1.633493
2022-03-15;"2016-W05";1081.569;997.953242578407;1167.39781501741;1123;41.43075;0.9717918
2022-03-15;"2016-W06";1081.19;997.850892724926;1166.72813561759;1083;1.80991;0.04285458
2022-03-15;"2016-W07";1079.85;996.970821451583;1164.90644369172;1101;21.1501;0.5020779
2022-03-15;"2016-W08";1077.57;995.302079863034;1161.9874158178;1170;92.42997;2.187271
2022-03-15;"2016-W09";1074.388;992.862777738229;1158.02998261684;1182;107.6123;2.564179
2022-03-15;"2016-W10";1070.355;989.672255765393;1153.1184209663;1193;122.6447;2.946577
2022-03-15;"2016-W11";1065.539;985.766056361021;1147.35477948943;1200;134.4611;3.261783
2022-03-15;"2016-W12";1060.017;981.184932331264;1140.85403587863;1117;56.98316;1.414885
2022-03-15;"2016-W13";1053.878;975.98223816695;1133.74246981734;1120;66.12188;1.659287
2022-03-15;"2016-W14";1047.22;970.222266424802;1126.15327260021;1061;13.77966;0.3526827
2022-03-15;"2016-W15";1040.148;963.986411559808;1118.21598735253;1102;61.85226;1.5885
2022-03-15;"2016-W16";1032.769;957.35086353719;1110.06972278539;1042;9.230868;0.2413944
2022-03-15;"2016-W17";1025.196;950.417501563561;1101.83890234559;1013;-12.19591;-0.3227833
2022-03-15;"2016-W18";1017.54;943.286204402074;1093.6459806785;1082;64.45992;1.697035
2022-03-15;"2016-W19";1009.912;936.064977955047;1085.60490413588;1067;57.08753;1.51284
2022-03-15;"2016-W20";1002.421;928.869794277802;1077.81717799945;975;-27.42105;-0.7397174
2022-03-15;"2016-W21";1003.57;931.054925500538;1077.87566649111;1027;23.42974;0.635808
2022-03-15;"2016-W22";996.3853;924.032684811376;1070.53357565699;1002;5.614727;0.1531425
2022-03-15;"2016-W23";989.5614;917.293855116659;1063.63300531406;961;-28.56142;-0.7844156
2022-03-15;"2016-W24";983.1886;910.951407297753;1057.24030779364;964;-19.18865;-0.5263445
2022-03-15;"2016-W25";977.3491;905.107339087709;1051.41673704144;1029;51.65087;1.399801
2022-03-15;"2016-W26";972.1165;899.854926574608;1046.21505867241;949;-23.11653;-0.6342345
2022-03-15;"2016-W27";967.5556;895.273411339147;1041.68473127197;965;-2.555556;-0.0698431
2022-03-15;"2016-W28";963.7215;891.43453104745;1037.86320475348;943;-20.72148;-0.5680377
2022-03-15;"2016-W29";960.6599;888.388942608499;1034.79082764657;1012;51.34007;1.390361
2022-03-15;"2016-W30";958.4067;886.177935498743;1032.49771960348;1010;51.59333;1.397914
2022-03-15;"2016-W31";956.9875;884.8260577104;1031.0105115875;949;-7.987453;-0.218841
2022-03-15;"2016-W32";956.418;884.345700388152;1030.34834616469;990;33.582;0.9146376
2022-03-15;"2016-W33";956.7039;884.732951113786;1030.52703477109;956;-0.7039077;-0.01931246
2022-03-15;"2016-W34";957.8407;885.968603168318;1031.55757929977;1015;57.15932;1.555044
2022-03-15;"2016-W35";959.8137;888.024290374199;1033.43970878243;957;-2.813707;-0.0774272
2022-03-15;"2016-W36";962.5983;890.855678708551;1036.16964836753;999;36.40166;0.9956985
2022-03-15;"2016-W37";966.1599;894.408466571467;1039.73359413869;973;6.840065;0.1880291
2022-03-15;"2016-W38";970.454;898.618491126661;1044.10780356912;931;-39.45401;-1.092098
2022-03-15;"2016-W39";975.4264;903.41117736379;1049.25958584763;1021;45.57358;1.240225
2022-03-15;"2016-W40";997.6471;922.438433613108;1074.79545040337;955;-42.64715;-1.127673
2022-03-15;"2016-W41";1004.659;929.099817291739;1082.16220167709;1079;74.34096;1.919353
2022-03-15;"2016-W42";1012.114;936.081944208236;1090.09992396684;1091;78.88592;2.022799
2022-03-15;"2016-W43";1019.912;943.281489095249;1098.51209209683;1042;22.08795;0.5670704
2022-03-15;"2016-W44";1027.946;950.596786999781;1107.28630808207;1051;23.05436;0.5862856
2022-03-15;"2016-W45";1036.102;957.921542685907;1116.30071658532;1071;34.89842;0.8764085
2022-03-15;"2016-W46";1044.262;965.156499801421;1125.41787322615;1089;44.73787;1.10868
2022-03-15;"2016-W47";1052.307;972.210287258117;1134.48999085296;1078;25.6933;0.6306826
2022-03-15;"2016-W48";1060.114;978.992208054067;1143.36036098325;1064;3.886329;0.09449999
2022-03-15;"2016-W49";1067.562;985.396458522279;1151.89227074151;1093;25.43756;0.6086682
2022-03-15;"2016-W50";1074.536;991.36860759863;1159.907179702;1119;44.46443;1.048017
2022-03-15;"2016-W51";1080.921;996.816821445289;1167.26590731861;1114;33.07897;0.7722833
2022-03-15;"2016-W52";1086.614;1001.67703456849;1173.82460722319;1197;110.3855;2.523047
2022-03-15;"2017-W01";1091.521;1005.8867680642;1179.45620354698;1168;76.47863;1.742329
2022-03-15;"2017-W02";1095.559;1009.39003597438;1184.04933981314;1160;64.44077;1.461536
2022-03-15;"2017-W03";1098.659;1012.138058063;1187.51379951039;1142;43.34063;0.982025
2022-03-15;"2017-W04";1100.769;1014.09495404149;1189.78067122667;1144;43.23142;0.9778322
2022-03-15;"2017-W05";1101.85;1015.22274453578;1190.80996657815;1268;166.1496;3.695319
2022-03-15;"2017-W06";1101.886;1015.50666454214;1190.5844488734;1158;56.11409;1.271245
2022-03-15;"2017-W07";1100.874;1014.93068099524;1189.11492308187;1281;180.1256;4.030675
2022-03-15;"2017-W08";1098.833;1013.49606806768;1186.43910537868;1206;107.1667;2.439749
2022-03-15;"2017-W09";1095.798;1011.21248791609;1182.61869817693;1224;128.2024;2.935942
2022-03-15;"2017-W10";1091.819;1008.09716878944;1177.73818437582;1149;57.18078;1.33663
2022-03-15;"2017-W11";1086.966;1004.18730422801;1171.90200669319;1177;90.03446;2.118477
2022-03-15;"2017-W12";1081.318;999.522056136868;1165.2309512141;1173;91.68196;2.182698
2022-03-15;"2017-W13";1074.97;994.15277822178;1157.86573045512;1078;3.029694;0.07398933
2022-03-15;"2017-W14";1068.026;988.171593389769;1149.92257870343;1013;-55.02595;-1.372573
2022-03-15;"2017-W15";1060.596;981.635329665846;1141.567145203;1042;-18.59646;-0.4664189
2022-03-15;"2017-W16";1052.799;974.639123841155;1132.94321953714;1003;-49.7989;-1.268314
2022-03-15;"2017-W17";1044.754;967.288779773799;1124.18339262386;1017;-27.75368;-0.7106794
2022-03-15;"2017-W18";1036.582;959.693930547217;1115.42035712705;1089;52.4176;1.335173
2022-03-15;"2017-W19";1028.406;951.974301417971;1106.78032571622;1048;19.59421;0.504638
2022-03-15;"2017-W20";1020.342;944.246737597044;1098.37822165343;1057;36.65812;0.9456362
2022-03-15;"2017-W21";1027.603;951.384468207066;1105.75474471243;1005;-22.603;-0.5877896
2022-03-15;"2017-W22";1021.276;945.198754992783;1099.29145162106;1005;-16.27573;-0.4235845
2022-03-15;"2017-W23";1015.298;939.285208870412;1093.2573681751;1021;5.702441;0.1479766
2022-03-15;"2017-W24";1009.75;933.725714785071;1087.73244499579;1065;55.24985;1.422071
2022-03-15;"2017-W25";1004.708;928.637978426385;1082.74867460357;1023;18.29199;0.4732949
2022-03-15;"2017-W26";1000.238;924.102363018951;1078.35679917412;983;-17.23787;-0.4482462
2022-03-15;"2017-W27";996.3981;920.197416079862;1074.59324751675;947;-49.3981;-1.290449
2022-03-15;"2017-W28";993.2384;916.986765580201;1071.49373031098;991;-2.238407;-0.05796478
2022-03-15;"2017-W29";990.7994;914.52195889184;1069.08698375841;984;-6.799431;-0.1761442
2022-03-15;"2017-W30";989.1126;912.840206037362;1067.39838902922;970;-19.11259;-0.496189
2022-03-15;"2017-W31";988.1999;911.965535900047;1066.44753316948;970;-18.19993;-0.4726547
2022-03-15;"2017-W32";988.074;911.863554142151;1066.29669783769;988;-0.07395805;-0.001916494
2022-03-15;"2017-W33";988.7377;912.656800648194;1066.82253893857;952;-36.73769;-0.9590946
2022-03-15;"2017-W34";990.1845;914.197769991392;1068.16714301244;1001;10.81546;0.2804375
2022-03-15;"2017-W35";992.3984;916.497505655383;1070.28607512445;986;-6.398419;-0.1665815
2022-03-15;"2017-W36";995.3537;919.509412994164;1073.17571455079;961;-34.35374;-0.8993668
2022-03-15;"2017-W37";999.0155;923.177698624519;1076.82324161791;1038;38.98445;1.008321
2022-03-15;"2017-W38";1003.34;927.438659324942;1081.20589322664;1014;10.66029;0.2767834
