"HealthTopic,""Population"",""Indicator"",""Unit"",""Time"",""RegionCode"",""RegionName"",""NumValue"",""TxtValue"""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W40"",""DE"",""Germany"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W40"",""DK"",""Denmark"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W40"",""EE"",""Estonia"",1.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W40"",""EL"",""Greece"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W40"",""ES"",""Spain"",2.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W40"",""EU31_UKX"",""EU/EEA"",32.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W40"",""FI"",""Finland"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W40"",""FR"",""France"",8.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W40"",""IE"",""Ireland"",1.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W40"",""LT"",""Lithuania"",2.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W40"",""LV"",""Latvia"",1.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W40"",""NL"",""Netherlands"",3.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W40"",""PL"",""Poland"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W40"",""PT"",""Portugal"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W40"",""SE"",""Sweden"",10.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W40"",""SI"",""Slovenia"",4.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W41"",""DE"",""Germany"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W41"",""DK"",""Denmark"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W41"",""EE"",""Estonia"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W41"",""EL"",""Greece"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W41"",""ES"",""Spain"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W41"",""EU31_UKX"",""EU/EEA"",29.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W41"",""FI"",""Finland"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W41"",""FR"",""France"",15.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W41"",""IE"",""Ireland"",5.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W41"",""IT"",""Italy"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W41"",""LV"",""Latvia"",1.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W41"",""NL"",""Netherlands"",2.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W41"",""PL"",""Poland"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W41"",""PT"",""Portugal"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W41"",""SE"",""Sweden"",5.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W41"",""SI"",""Slovenia"",1.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W42"",""CZ"",""Czechia"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W42"",""DE"",""Germany"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W42"",""DK"",""Denmark"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W42"",""EE"",""Estonia"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W42"",""EL"",""Greece"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W42"",""ES"",""Spain"",3.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W42"",""EU31_UKX"",""EU/EEA"",44.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W42"",""FI"",""Finland"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W42"",""FR"",""France"",17.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W42"",""IE"",""Ireland"",11.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W42"",""IT"",""Italy"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W42"",""LV"",""Latvia"",2.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W42"",""PL"",""Poland"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W42"",""PT"",""Portugal"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W42"",""SE"",""Sweden"",8.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W42"",""SI"",""Slovenia"",2.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W42"",""SK"",""Slovakia"",1.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""CZ"",""Czechia"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""DE"",""Germany"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""DK"",""Denmark"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""EE"",""Estonia"",1.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""EL"",""Greece"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""ES"",""Spain"",8.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""EU31_UKX"",""EU/EEA"",104.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""FI"",""Finland"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""FR"",""France"",48.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""HU"",""Hungary"",1.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""IE"",""Ireland"",24.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""IT"",""Italy"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""LV"",""Latvia"",2.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""NL"",""Netherlands"",1.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""PL"",""Poland"",2.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""PT"",""Portugal"",0.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""SE"",""Sweden"",9.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""SI"",""Slovenia"",7.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W43"",""SK"",""Slovakia"",1.000000000,"""""
"Respiratory Syncytial Virus,""RSV Non sentinel"",""RSV detection"",""N"",""2014-W44"",""DE"",""Germany"",0.000000000,"""""
