Uge;Doede
2007U01;1173
2007U02;1209
2007U03;1063
2007U04;1022
2007U05;1110
2007U06;1112
2007U07;1119
2007U08;1256
2007U09;1256
2007U10;1184
2007U11;1240
2007U12;1142
2007U13;1177
2007U14;1124
2007U15;1042
2007U16;1090
2007U17;1021
2007U18;1138
2007U19;1059
2007U20;971
2007U21;1090
2007U22;978
2007U23;1040
2007U24;1046
2007U25;1007
2007U26;986
2007U27;995
2007U28;998
2007U29;1052
2007U30;982
2007U31;1014
2007U32;1096
2007U33;947
2007U34;940
2007U35;1006
2007U36;967
2007U37;1006
2007U38;1000
2007U39;950
2007U40;980
2007U41;985
2007U42;947
2007U43;1021
2007U44;1033
2007U45;1077
2007U46;1063
2007U47;988
2007U48;1112
2007U49;1104
2007U50;1127
2007U51;1139
2007U52;1244
2008U01;1257
2008U02;1217
2008U03;1173
2008U04;1179
2008U05;1114
2008U06;1094
2008U07;1063
2008U08;1110
2008U09;1052
2008U10;1066
2008U11;1059
2008U12;1074
2008U13;1095
2008U14;1067
2008U15;1052
2008U16;1048
2008U17;1003
2008U18;1056
2008U19;1040
2008U20;1005
2008U21;974
2008U22;1119
2008U23;1020
2008U24;1000
2008U25;975
2008U26;963
2008U27;1009
2008U28;940
2008U29;986
2008U30;948
2008U31;989
2008U32;953
2008U33;896
2008U34;979
2008U35;899
2008U36;948
2008U37;952
2008U38;1032
2008U39;1036
2008U40;1049
2008U41;1002
2008U42;1042
2008U43;1000
2008U44;1012
2008U45;1039
2008U46;1034
2008U47;1018
2008U48;1007
2008U49;1086
2008U50;1103
2008U51;1207
2008U52;1181
2009U01;1265
2009U02;1296
2009U03;1309
2009U04;1364
2009U05;1227
2009U06;1261
2009U07;1185
2009U08;1222
2009U09;1139
2009U10;1150
2009U11;1091
2009U12;1099
2009U13;1104
2009U14;1100
2009U15;1052
2009U16;1024
2009U17;1012
2009U18;1053
2009U19;953
2009U20;1053
2009U21;966
2009U22;986
2009U23;976
2009U24;947
2009U25;998
2009U26;982
2009U27;1035
2009U28;891
2009U29;1028
2009U30;979
2009U31;957
2009U32;973
2009U33;937
2009U34;940
2009U35;943
2009U36;949
2009U37;992
2009U38;920
2009U39;936
2009U40;1003
2009U41;951
2009U42;950
2009U43;1052
2009U44;1039
2009U45;1033
2009U46;1024
2009U47;1086
2009U48;1015
2009U49;1076
2009U50;1090
2009U51;1058
2009U52;1098
2009U53;1117
2010U01;1159
2010U02;1127
2010U03;1120
2010U04;1058
2010U05;1102
2010U06;1128
2010U07;1135
2010U08;1177
2010U09;1182
2010U10;1128
2010U11;1067
2010U12;1095
2010U13;1056
2010U14;1090
2010U15;1091
2010U16;1076
2010U17;1022
2010U18;1039
2010U19;1005
2010U20;1079
2010U21;960
2010U22;921
2010U23;950
2010U24;972
2010U25;995
2010U26;1093
2010U27;955
2010U28;991
2010U29;980
2010U30;977
2010U31;978
2010U32;994
2010U33;940
2010U34;998
2010U35;949
2010U36;993
2010U37;994
2010U38;1039
2010U39;937
2010U40;965
2010U41;1001
2010U42;1058
2010U43;990
2010U44;1019
2010U45;1021
2010U46;947
2010U47;1032
2010U48;1106
2010U49;1109
2010U50;1121
2010U51;1160
2010U52;1125
2011U01;1244
2011U02;1099
2011U03;1093
2011U04;1086
2011U05;1067
2011U06;1055
2011U07;1124
2011U08;1035
2011U09;1117
2011U10;1089
2011U11;1087
2011U12;1006
2011U13;1071
2011U14;1013
2011U15;938
2011U16;956
2011U17;1011
2011U18;1028
2011U19;1007
2011U20;951
2011U21;983
2011U22;914
2011U23;986
2011U24;964
2011U25;926
2011U26;994
2011U27;945
2011U28;998
2011U29;906
2011U30;972
2011U31;912
2011U32;904
2011U33;906
2011U34;921
2011U35;935
2011U36;929
2011U37;933
2011U38;1007
2011U39;962
2011U40;918
2011U41;942
2011U42;971
2011U43;983
2011U44;1029
2011U45;967
2011U46;950
2011U47;1002
2011U48;1095
2011U49;1095
2011U50;1099
2011U51;1125
2011U52;1125
2012U01;1089
2012U02;1083
2012U03;1052
2012U04;1142
2012U05;983
2012U06;1080
2012U07;1086
2012U08;1106
2012U09;1067
2012U10;974
2012U11;1024
2012U12;1029
2012U13;1023
2012U14;1037
2012U15;1045
2012U16;1059
2012U17;1036
2012U18;984
2012U19;1013
2012U20;944
2012U21;952
2012U22;956
2012U23;996
2012U24;916
2012U25;994
2012U26;983
2012U27;914
2012U28;924
2012U29;932
2012U30;970
2012U31;923
2012U32;940
2012U33;898
2012U34;949
2012U35;939
2012U36;886
2012U37;974
2012U38;936
2012U39;949
2012U40;984
2012U41;1008
2012U42;982
2012U43;947
2012U44;973
2012U45;1005
2012U46;976
2012U47;972
2012U48;984
2012U49;1009
2012U50;1022
2012U51;1151
2012U52;1201
2013U01;1307
2013U02;1201
2013U03;1184
2013U04;1152
2013U05;1247
2013U06;1237
2013U07;1229
2013U08;1143
2013U09;1201
2013U10;1119
2013U11;1088
2013U12;1107
2013U13;1117
2013U14;1094
2013U15;1069
