Dato,NyePositive_PCR,NyePositive_Antigen,AntalTest_PCR,AntalTest_Antigen,Dødsfald,Nyindlæggelser
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,1,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,1,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,1,0,0,0
2020-02-18,0,0,2,0,0,0
2020-02-19,0,0,2,0,0,0
2020-02-20,0,0,1,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,1,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0
2020-02-25,0,0,10,0,0,0
2020-02-26,1,0,30,0,0,0
2020-02-27,1,0,109,0,0,0
2020-02-28,1,0,62,0,0,0
2020-02-29,0,0,74,0,0,0
2020-03-01,1,0,49,0,0,1
2020-03-02,4,0,80,0,0,0
2020-03-03,5,0,63,0,0,1
2020-03-04,3,0,88,0,0,0
2020-03-05,10,0,109,0,0,1
2020-03-06,2,0,127,0,0,4
2020-03-07,9,0,108,0,0,0
2020-03-08,48,0,229,0,0,3
2020-03-09,210,0,577,0,0,9
2020-03-10,256,0,806,0,0,15
2020-03-11,207,0,882,0,1,10
2020-03-12,44,0,676,0,0,18
2020-03-13,33,0,710,0,0,26
2020-03-14,37,0,583,0,1,24
2020-03-15,45,0,726,0,2,33
2020-03-16,74,0,1016,0,1,45
2020-03-17,76,0,948,0,1,47
2020-03-18,83,0,1226,0,4,47
2020-03-19,107,0,1848,0,5,50
2020-03-20,103,0,1178,0,4,64
2020-03-21,48,0,602,0,3,34
2020-03-22,62,0,532,0,3,42
2020-03-23,132,0,1124,0,6,85
2020-03-24,139,0,1123,0,6,82
2020-03-25,151,0,1371,0,6,90
2020-03-26,171,0,1608,0,12,79
2020-03-27,217,0,2110,0,12,87
2020-03-28,200,0,1383,0,9,83
2020-03-29,128,0,1301,0,8,52
2020-03-30,313,0,3218,0,11,69
2020-03-31,255,0,3209,0,15,51
2020-04-01,282,0,3558,0,22,61
2020-04-02,382,0,5749,0,18,72
2020-04-03,473,0,6615,0,20,72
2020-04-04,312,0,3685,0,15,44
2020-04-05,158,0,2187,0,12,36
2020-04-06,424,0,6530,0,17,51
2020-04-07,347,0,6350,0,12,56
2020-04-08,301,0,5608,24,15,28
2020-04-09,140,0,2522,0,13,34
2020-04-10,142,0,2303,0,16,34
