date,estimatedCases,estimatedCasesCILower,estimatedCasesCIUpper
2020-01-09,NaN,NaN,NaN
2020-01-09,NaN,NaN,NaN
2020-01-10,NaN,NaN,NaN
2020-01-10,NaN,NaN,NaN
2020-01-11,NaN,NaN,NaN
2020-01-11,NaN,NaN,NaN
2020-01-12,NaN,NaN,NaN
2020-01-12,NaN,NaN,NaN
2020-01-13,NaN,NaN,NaN
2020-01-13,NaN,NaN,NaN
2020-01-14,NaN,NaN,NaN
2020-01-14,NaN,NaN,NaN
2020-01-15,NaN,NaN,NaN
2020-01-15,NaN,NaN,NaN
2020-01-16,NaN,NaN,NaN
2020-01-16,NaN,NaN,NaN
2020-01-17,NaN,NaN,NaN
2020-01-17,NaN,NaN,NaN
2020-01-18,NaN,NaN,NaN
2020-01-18,NaN,NaN,NaN
2020-01-19,NaN,NaN,NaN
2020-01-19,NaN,NaN,NaN
2020-01-20,NaN,NaN,NaN
2020-01-20,NaN,NaN,NaN
2020-01-21,NaN,NaN,NaN
2020-01-21,NaN,NaN,NaN
2020-01-22,NaN,NaN,NaN
2020-01-22,NaN,NaN,NaN
2020-01-23,NaN,NaN,NaN
2020-01-23,NaN,NaN,NaN
2020-01-24,NaN,NaN,NaN
2020-01-24,NaN,NaN,NaN
2020-01-25,NaN,NaN,NaN
2020-01-25,NaN,NaN,NaN
2020-01-26,NaN,NaN,NaN
2020-01-26,NaN,NaN,NaN
2020-01-27,NaN,NaN,NaN
2020-01-27,NaN,NaN,NaN
2020-01-28,NaN,NaN,NaN
2020-01-28,NaN,NaN,NaN
2020-01-29,NaN,NaN,NaN
2020-01-29,NaN,NaN,NaN
2020-01-30,NaN,NaN,NaN
2020-01-30,NaN,NaN,NaN
2020-01-31,NaN,NaN,NaN
2020-01-31,NaN,NaN,NaN
2020-02-01,NaN,NaN,NaN
2020-02-01,NaN,NaN,NaN
2020-02-02,NaN,NaN,NaN
2020-02-02,NaN,NaN,NaN
2020-02-03,NaN,NaN,NaN
2020-02-03,NaN,NaN,NaN
2020-02-04,NaN,NaN,NaN
2020-02-04,NaN,NaN,NaN
2020-02-05,NaN,NaN,NaN
2020-02-05,NaN,NaN,NaN
2020-02-06,NaN,NaN,NaN
2020-02-06,NaN,NaN,NaN
2020-02-07,NaN,NaN,NaN
2020-02-07,NaN,NaN,NaN
2020-02-08,NaN,NaN,NaN
2020-02-08,NaN,NaN,NaN
2020-02-09,NaN,NaN,NaN
2020-02-09,NaN,NaN,NaN
2020-02-10,NaN,NaN,NaN
2020-02-10,NaN,NaN,NaN
2020-02-11,NaN,NaN,NaN
2020-02-11,NaN,NaN,NaN
2020-02-12,NaN,NaN,NaN
2020-02-12,NaN,NaN,NaN
2020-02-13,NaN,NaN,NaN
2020-02-13,NaN,NaN,NaN
2020-02-14,NaN,NaN,NaN
2020-02-14,NaN,NaN,NaN
2020-02-15,NaN,NaN,NaN
2020-02-15,NaN,NaN,NaN
2020-02-16,NaN,NaN,NaN
2020-02-16,NaN,NaN,NaN
2020-02-17,NaN,NaN,NaN
2020-02-17,NaN,NaN,NaN
2020-02-18,NaN,NaN,NaN
2020-02-18,NaN,NaN,NaN
2020-02-19,NaN,NaN,NaN
2020-02-19,NaN,NaN,NaN
2020-02-20,NaN,NaN,NaN
2020-02-20,NaN,NaN,NaN
2020-02-21,NaN,NaN,NaN
2020-02-21,NaN,NaN,NaN
2020-02-22,NaN,NaN,NaN
2020-02-22,NaN,NaN,NaN
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,1,0,1
2020-02-28,1,0,1
2020-02-29,1,0,1
2020-03-01,1,1,1
2020-03-02,1,1,1
2020-03-03,3,1,3
2020-03-04,3,1,3
