Age;2021M01D01;2021M01D02;2021M01D03;2021M01D04;2021M01D05;2021M01D06;2021M01D07;2021M01D08;2021M01D09;2021M01D10;2021M01D11;2021M01D12;2021M01D13;2021M01D14;2021M01D15;2021M01D16;2021M01D17;2021M01D18;2021M01D19;2021M01D20;2021M01D21;2021M01D22;2021M01D23;2021M01D24;2021M01D25;2021M01D26;2021M01D27;2021M01D28;2021M01D29;2021M01D30;2021M01D31;2021M02D01;2021M02D02;2021M02D03;2021M02D04;2021M02D05;2021M02D06;2021M02D07;2021M02D08;2021M02D09;2021M02D10;2021M02D11;2021M02D12;2021M02D13;2021M02D14;2021M02D15;2021M02D16;2021M02D17;2021M02D18;2021M02D19;2021M02D20;2021M02D21;2021M02D22;2021M02D23;2021M02D24;2021M02D25;2021M02D26;2021M02D27;2021M02D28;2021M03D01;2021M03D02;2021M03D03;2021M03D04;2021M03D05;2021M03D06;2021M03D07;2021M03D08;2021M03D09;2021M03D10;2021M03D11;2021M03D12;2021M03D13;2021M03D14;2021M03D15;2021M03D16;2021M03D17;2021M03D18;2021M03D19;2021M03D20;2021M03D21;2021M03D22;2021M03D23;2021M03D24;2021M03D25;2021M03D26;2021M03D27;2021M03D28;2021M03D29;2021M03D30;2021M03D31;2021M04D01;2021M04D02;2021M04D03;2021M04D04;2021M04D05;2021M04D06;2021M04D07;2021M04D08;2021M04D09;2021M04D10;2021M04D11;2021M04D12;2021M04D13;2021M04D14;2021M04D15;2021M04D16;2021M04D17;2021M04D18;2021M04D19;2021M04D20;2021M04D21;2021M04D22;2021M04D23;2021M04D24;2021M04D25;2021M04D26;2021M04D27;2021M04D28;2021M04D29;2021M04D30;2021M05D01;2021M05D02;2021M05D03;2021M05D04;2021M05D05;2021M05D06;2021M05D07;2021M05D08;2021M05D09;2021M05D10;2021M05D11;2021M05D12;2021M05D13;2021M05D14;2021M05D15;2021M05D16;2021M05D17;2021M05D18;2021M05D19;2021M05D20;2021M05D21;2021M05D22;2021M05D23;2021M05D24;2021M05D25;2021M05D26;2021M05D27;2021M05D28;2021M05D29;2021M05D30;2021M05D31;2021M06D01;2021M06D02;2021M06D03;2021M06D04;2021M06D05;2021M06D06;2021M06D07;2021M06D08;2021M06D09;2021M06D10;2021M06D11;2021M06D12;2021M06D13;2021M06D14;2021M06D15;2021M06D16;2021M06D17;2021M06D18;2021M06D19;2021M06D20;2021M06D21;2021M06D22;2021M06D23;2021M06D24;2021M06D25;2021M06D26;2021M06D27;2021M06D28;2021M06D29;2021M06D30;2021M07D01;2021M07D02;2021M07D03;2021M07D04;2021M07D05;2021M07D06;2021M07D07;2021M07D08;2021M07D09;2021M07D10;2021M07D11;2021M07D12;2021M07D13;2021M07D14;2021M07D15;2021M07D16;2021M07D17;2021M07D18;2021M07D19;2021M07D20;2021M07D21;2021M07D22;2021M07D23;2021M07D24;2021M07D25;2021M07D26;2021M07D27;2021M07D28;2021M07D29;2021M07D30;2021M07D31;2021M08D01;2021M08D02;2021M08D03;2021M08D04;2021M08D05;2021M08D06;2021M08D07;2021M08D08;2021M08D09;2021M08D10;2021M08D11;2021M08D12;2021M08D13;2021M08D14;2021M08D15;2021M08D16;2021M08D17;2021M08D18;2021M08D19;2021M08D20;2021M08D21;2021M08D22;2021M08D23;2021M08D24;2021M08D25;2021M08D26;2021M08D27;2021M08D28;2021M08D29;2021M08D30;2021M08D31;2021M09D01;2021M09D02;2021M09D03;2021M09D04;2021M09D05;2021M09D06;2021M09D07;2021M09D08;2021M09D09;2021M09D10;2021M09D11;2021M09D12;2021M09D13;2021M09D14;2021M09D15;2021M09D16;2021M09D17;2021M09D18;2021M09D19;2021M09D20;2021M09D21;2021M09D22;2021M09D23;2021M09D24;2021M09D25;2021M09D26
0-4 år;1;0;0;0;1;2;2;1;0;0;0;0;1;2;0;0;1;1;0;0;0;1;1;0;0;0;1;0;1;1;0;2;0;4;0;0;3;1;2;0;1;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1;1;3;1;1;2;1;0;0;0;1;1;1;0;1;2;0;0;1;1;1;1;1;0;0;0;1;0;2;0;1;1;0;2;0;1;0;1;1;1;1;0;0;2;0;2;0;0;0;3;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;0;1;1;1;2;0;1;0;1;3;0;0;1;2;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;1;0;1;1;0;0;1;0;0;1;0;0;1;1;0;0;1;0;0;1;0;1;2;0;0;0;1;2;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;2;1;1;0;1;1;2;0;0;2;0;2;0;2;1;0;0;1;1;2;0;1;0;1;0;1;2;1;0;0;1;2;0;2;0;1;0;0;1;0;1;3;0;0;1;0;0;1;0;2;0;0;1;1;0;1;1;0;0;1;0;0;0;1;0;2
5-9 år;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10-14 år;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15-19 år;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;3;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
20-24 år;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;0;0;1;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;2;0;2;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;2;0;0;0;1;1;1;0;0;0;1;0;0;1;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;2;0;0;0;1;0;0;2;2;0;0;0;0;0;0;0;0;1;0;1;0;0;1;2;0;0;0;1;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0
25-29 år;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;1;1;1;1;0;1;0;1;0;0;0;1;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;2;0;0;0;3;0;0;1;0;1;0;1;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;2;1;1;1;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;1;1;1;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1
30-34 år;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;2;0;2;1;1;1;1;1;3;1;0;0;0;2;1;1;1;1;0;0;0;2;0;1;0;1;0;1;0;0;0;1;0;0;1;1;2;1;0;2;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;1;2;1;1;0
35-39 år;0;3;0;1;1;0;1;1;1;2;0;0;1;0;3;1;0;1;0;0;2;1;0;0;1;2;1;2;0;0;0;1;1;0;0;1;0;0;2;2;1;0;0;1;0;0;0;2;0;0;0;0;1;0;0;0;1;1;0;2;0;0;0;1;0;2;0;1;1;1;0;1;2;1;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;1;0;2;0;1;0;1;0;0;0;0;1;0;1;0;1;1;1;1;1;1;0;0;2;1;0;1;0;0;0;0;0;1;0;1;0;1;0;1;2;0;1;0;0;1;0;0;0;1;1;0;3;1;1;0;1;2;0;1;0;0;0;0;0;1;1;0;1;2;1;1;0;2;0;0;0;0;1;0;0;1;0;2;0;0;0;1;1;0;1;0;0;1;0;1;2;0;0;0;2;0;0;0;0;0;0;1;0;1;0;1;2;0;1;0;1;0;1;0;0;1;0;0;0;1;0;3;1;1;1;0;0;0;3;0;0;1;3;0;0;0;1;0;0;0;1;0;0;0;1;2;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0
40-44 år;2;0;2;0;1;1;1;0;1;2;1;2;0;0;0;2;1;2;1;0;2;1;1;0;1;0;1;0;1;0;0;1;2;0;2;1;1;3;2;4;0;3;1;0;1;1;1;2;0;0;2;2;1;2;1;0;1;2;1;1;1;1;0;0;1;1;0;1;0;0;2;1;2;0;3;2;1;1;1;0;1;1;1;0;1;4;0;0;0;0;0;0;0;1;1;0;2;1;0;0;0;2;1;1;1;1;2;1;1;0;0;0;3;0;2;1;0;1;2;0;0;1;2;3;3;0;1;3;1;2;3;0;3;3;1;2;0;1;0;1;0;0;2;0;2;0;0;2;0;0;2;1;0;1;0;0;0;1;1;2;0;0;2;1;0;1;1;0;0;0;0;2;0;0;1;1;0;1;0;0;2;1;1;1;1;1;0;1;0;0;2;0;0;0;1;0;0;4;0;1;0;1;1;1;4;2;0;0;3;0;0;0;2;1;1;2;3;0;1;0;0;2;0;1;1;0;0;1;0;0;3;3;1;0;1;1;1;0;1;1;0;0;1;0;1;2;0;0;2;0;0;0;2;0;2;1;2;0;0;1;0;1;0;2;1;1;0;0;0
45-49 år;3;1;1;2;4;2;4;0;1;2;1;1;2;0;0;2;0;2;3;2;1;0;0;0;2;0;0;2;3;4;1;1;0;0;2;3;0;1;2;1;1;1;3;4;0;2;0;3;1;1;1;2;3;0;1;2;0;1;1;2;2;1;0;2;2;1;3;1;1;2;2;0;1;3;2;3;2;1;2;1;0;1;1;2;1;3;2;2;1;1;3;0;2;2;1;0;2;1;3;0;1;3;1;4;1;4;0;1;1;2;2;2;1;3;1;4;1;5;1;2;0;3;1;4;3;2;1;1;2;1;1;1;1;2;1;0;2;1;4;2;3;3;2;1;1;1;3;1;3;3;3;1;1;0;1;2;4;2;3;2;0;3;2;2;2;2;1;3;1;2;2;3;2;1;2;2;2;1;1;3;1;0;2;1;3;1;5;1;0;1;1;3;1;0;1;1;3;2;4;1;1;4;1;4;1;3;4;3;4;3;0;5;0;1;1;3;1;1;0;3;2;0;3;1;2;2;1;1;3;1;3;1;1;2;0;1;4;4;3;0;2;4;0;3;4;4;3;0;3;0;5;2;3;1;1;1;0;1;1;3;1;2;2;1;5;3;0;1;1
