,Dato,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,I alt
0,2020-05-07,10.0,9.0,18.0,20.0,31.0,23.0,13.0,8.0,9.0,4.0,145.0
1,2020-05-08,8.0,12.0,22.0,19.0,20.0,21.0,14.0,8.0,11.0,0.0,135.0
2,2020-05-09,5.0,6.0,21.0,12.0,16.0,16.0,13.0,10.0,2.0,0.0,101.0
3,2020-05-10,1.0,10.0,18.0,24.0,17.0,18.0,11.0,8.0,3.0,0.0,110.0
4,2020-05-11,7.0,12.0,15.0,6.0,17.0,13.0,5.0,4.0,3.0,2.0,84.0
5,2020-05-12,4.0,6.0,14.0,7.0,11.0,23.0,5.0,4.0,3.0,1.0,78.0
6,2020-05-13,5.0,10.0,7.0,19.0,15.0,12.0,5.0,1.0,1.0,1.0,76.0
7,2020-05-14,1.0,3.0,7.0,14.0,4.0,12.0,3.0,0.0,2.0,0.0,46.0
8,2020-05-15,5.0,8.0,10.0,12.0,13.0,11.0,9.0,5.0,2.0,3.0,78.0
9,2020-05-16,5.0,9.0,8.0,14.0,7.0,6.0,6.0,7.0,4.0,1.0,67.0
10,2020-05-17,3.0,3.0,14.0,18.0,7.0,7.0,11.0,2.0,4.0,0.0,69.0
11,2020-05-18,4.0,6.0,7.0,9.0,1.0,8.0,3.0,2.0,1.0,0.0,41.0
12,2020-05-19,8.0,4.0,14.0,14.0,11.0,6.0,12.0,5.0,2.0,0.0,76.0
13,2020-05-20,5.0,5.0,14.0,13.0,14.0,10.0,5.0,2.0,3.0,2.0,73.0
14,2020-05-21,6.0,5.0,12.0,10.0,5.5,9.5,5.5,2.0,1.0,0.0,56.5
15,2020-05-22,6.0,5.0,12.0,10.0,5.5,9.5,5.5,2.0,1.0,0.0,56.5
16,2020-05-23,2.6666666666666665,3.0,9.333333333333334,8.666666666666666,9.0,9.666666666666666,3.0,3.0,2.6666666666666665,1.3333333333333333,52.333333333333336
17,2020-05-24,2.6666666666666665,3.0,9.333333333333334,8.666666666666666,9.0,9.666666666666666,3.0,3.0,2.6666666666666665,1.3333333333333333,52.333333333333336
18,2020-05-25,2.6666666666666665,3.0,9.333333333333334,8.666666666666666,9.0,9.666666666666666,3.0,3.0,2.6666666666666665,1.3333333333333333,52.333333333333336
19,2020-05-26,2.0,4.0,8.0,6.0,6.0,7.0,1.0,3.0,4.0,0.0,41.0
20,2020-05-27,3.0,8.0,8.0,9.0,7.0,7.0,2.0,3.0,4.0,1.0,52.0
21,2020-05-28,2.0,3.0,10.0,3.0,2.0,4.0,4.0,3.0,1.0,0.0,32.0
22,2020-05-29,6.0,6.0,12.0,13.0,9.0,7.0,8.0,12.0,5.0,3.0,81.0
23,2020-05-30,1.25,3.5,6.0,5.0,5.5,4.5,4.5,2.75,2.0,0.25,35.25
24,2020-05-31,1.25,3.5,6.0,5.0,5.5,4.5,4.5,2.75,2.0,0.25,35.25
25,2020-06-01,1.25,3.5,6.0,5.0,5.5,4.5,4.5,2.75,2.0,0.25,35.25
26,2020-06-02,1.25,3.5,6.0,5.0,5.5,4.5,4.5,2.75,2.0,0.25,35.25
27,2020-06-03,2.0,3.0,8.0,7.0,2.0,7.0,5.0,1.0,1.0,1.0,37.0
28,2020-06-04,4.0,3.0,6.0,3.0,9.0,7.0,6.0,2.0,0.0,0.0,40.0
29,2020-06-05,2.5,3.0,7.25,6.25,4.25,6.75,3.25,2.5,1.5,0.5,37.75
30,2020-06-06,2.5,3.0,7.25,6.25,4.25,6.75,3.25,2.5,1.5,0.5,37.75
31,2020-06-07,2.5,3.0,7.25,6.25,4.25,6.75,3.25,2.5,1.5,0.5,37.75
32,2020-06-08,2.5,3.0,7.25,6.25,4.25,6.75,3.25,2.5,1.5,0.5,37.75
33,2020-06-09,2.5,5.0,5.5,4.0,2.0,4.5,2.0,1.5,0.0,0.0,27.0
34,2020-06-10,2.5,5.0,5.5,4.0,2.0,4.5,2.0,1.5,0.0,0.0,27.0
35,2020-06-11,2.0,2.0,1.0,5.0,2.0,3.0,1.0,0.0,3.0,0.0,19.0
36,2020-06-12,8.0,3.0,14.0,10.0,10.0,7.0,5.0,5.0,2.0,0.0,64.0
37,2020-06-13,2.3333333333333335,2.6666666666666665,4.0,7.333333333333333,5.666666666666667,5.333333333333333,4.0,5.0,3.0,0.0,39.333333333333336
38,2020-06-14,2.3333333333333335,2.6666666666666665,4.0,7.333333333333333,5.666666666666667,5.333333333333333,4.0,5.0,3.0,0.0,39.333333333333336
