Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     175 (51);     165 (49);     340
10-19;     334 (54);     282 (46);     616
20-29;   1.084 (62);     677 (38);   1.761
30-39;   1.095 (60);     717 (40);   1.812
40-49;   1.307 (60);     870 (40);   2.177
50-59;   1.352 (60);     908 (40);   2.260
60-69;     713 (50);     715 (50);   1.428
70-79;     481 (46);     572 (54);   1.053
80-89;     471 (57);     351 (43);     822
90+;     186 (72);      72 (28);     258
I alt;   7.198 (57);   5.329 (43);  12.527
