Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  13.831 (48);  14.725 (52);  28.556
10-19;  30.047 (49);  31.183 (51);  61.230
20-29;  37.396 (49);  39.230 (51);  76.626
30-39;  25.023 (50);  25.023 (50);  50.046
40-49;  25.849 (53);  23.238 (47);  49.087
50-59;  22.296 (51);  21.708 (49);  44.004
60-69;  10.988 (48);  11.687 (52);  22.675
70-79;   6.453 (49);   6.628 (51);  13.081
80-89;   3.705 (57);   2.748 (43);   6.453
90+;   1.400 (70);     586 (30);   1.986
I alt; 176.988 (50); 176.756 (50); 353.744
