date,estimatedCases,estimatedCasesCILower,estimatedCasesCIUpper
2020-01-09,0.0000,0.0000,1.0000
2020-01-10,0.0000,0.0000,1.0000
2020-01-11,0.0000,0.0000,1.0000
2020-01-12,0.0000,0.0000,1.0000
2020-01-13,0.0000,0.0000,1.0000
2020-01-14,0.0000,0.0000,1.0000
2020-01-15,0.0000,0.0000,1.0000
2020-01-16,0.0000,0.0000,1.0000
2020-01-17,0.0000,0.0000,1.0000
2020-01-18,0.0000,0.0000,1.0000
2020-01-19,0.0000,0.0000,1.0000
2020-01-20,0.0000,0.0000,1.0000
2020-01-21,0.0000,0.0000,1.0000
2020-01-22,0.0000,0.0000,1.0000
2020-01-23,0.0000,0.0000,1.0000
2020-01-24,0.0000,0.0000,1.0000
2020-01-25,0.0000,0.0000,1.0000
2020-01-26,0.0000,0.0000,1.0000
2020-01-27,0.0000,0.0000,1.0000
2020-01-28,0.0000,0.0000,1.0000
2020-01-29,0.0000,0.0000,1.0000
2020-01-30,0.0000,0.0000,1.0000
2020-01-31,0.0000,0.0000,1.0000
2020-02-01,0.0000,0.0000,1.0000
2020-02-02,0.0000,0.0000,1.0000
2020-02-03,0.0000,0.0000,1.0000
2020-02-04,0.0000,0.0000,1.0000
2020-02-05,0.0000,0.0000,1.0000
2020-02-06,0.0000,0.0000,1.0000
2020-02-07,0.0000,0.0000,1.0000
2020-02-08,0.0000,0.0000,1.0000
2020-02-09,0.0000,0.0000,1.0000
2020-02-10,0.0000,0.0000,1.0000
2020-02-11,0.0000,0.0000,1.0000
2020-02-12,0.0000,0.0000,1.0000
2020-02-13,0.0000,0.0000,1.0000
2020-02-14,0.0000,0.0000,1.0000
2020-02-15,0.0000,0.0000,1.0000
2020-02-16,0.0000,0.0000,1.0000
2020-02-17,0.0000,0.0000,1.0000
2020-02-18,0.0000,0.0000,1.0000
2020-02-19,0.0000,0.0000,1.0000
2020-02-20,0.0000,0.0000,1.0000
2020-02-21,0.0000,0.0000,1.0000
2020-02-22,0.0000,0.0000,1.0000
2020-02-23,0.0000,0.0000,0.9641
2020-02-24,0.0000,0.0000,0.9641
2020-02-25,0.0000,0.0000,0.9308
2020-02-26,0.0000,0.0000,0.9308
2020-02-27,0.0000,0.0000,0.8996
2020-02-28,0.0000,0.0000,0.7097
2020-02-29,0.0000,0.0000,0.5735
2020-03-01,0.0000,0.0000,0.5735
2020-03-02,0.0000,0.0000,0.5615
2020-03-03,0.0000,0.0000,0.5500
2020-03-04,0.0000,0.0000,0.5084
2020-03-05,0.0000,0.0000,0.3543
2020-03-06,0.0000,0.0000,0.0912
2020-03-07,0.0000,0.0000,0.0717
2020-03-08,0.0000,0.0000,0.0618
2020-03-09,0.0000,0.0000,0.0611
2020-03-10,0.0000,0.0000,0.0604
2020-03-11,0.0000,0.0000,0.0603
2020-03-12,0.0000,0.0000,0.0621
2020-03-13,0.0000,0.0000,0.0820
2020-03-14,0.0000,0.0000,0.1089
2020-03-15,0.0000,0.0000,0.1359
2020-03-16,0.0000,0.0000,0.1300
2020-03-17,0.0000,0.0000,0.1325
2020-03-18,0.0000,0.0000,0.1352
2020-03-19,0.0000,0.0000,0.1387
2020-03-20,0.0000,0.0000,0.1794
2020-03-21,0.0000,0.0000,0.1546
2020-03-22,0.0000,0.0000,0.1332
2020-03-23,0.0000,0.0000,0.1246
2020-03-24,0.0000,0.0000,0.1027
2020-03-25,0.0000,0.0000,0.0879
2020-03-26,0.0000,0.0000,0.0857
2020-03-27,0.0000,0.0000,0.0671
2020-03-28,0.0000,0.0000,0.0704
2020-03-29,0.0000,0.0000,0.0775
2020-03-30,0.0000,0.0000,0.0810
2020-03-31,0.0000,0.0000,0.0921
2020-04-01,0.0000,0.0000,0.1072
2020-04-02,0.0000,0.0000,0.1130
2020-04-03,0.0000,0.0000,0.2054
2020-04-04,0.0000,0.0000,0.2281
2020-04-05,0.0000,0.0000,0.2361
2020-04-06,0.0000,0.0000,0.2692
2020-04-07,0.0000,0.0000,0.2959
2020-04-08,0.0000,0.0000,0.3095
2020-04-09,0.0000,0.0000,0.3131
2020-04-10,0.0000,0.0000,0.2692
2020-04-11,0.0000,0.0000,0.2188
2020-04-12,0.0000,0.0000,0.2136
2020-04-13,0.0000,0.0000,0.2119
2020-04-14,0.0000,0.0000,0.2119
2020-04-15,0.0000,0.0000,0.2119
2020-04-16,0.0000,0.0000,0.2103
2020-04-17,0.0000,0.0000,0.1352
2020-04-18,0.0000,0.0000,0.1529
2020-04-19,0.0000,0.0000,0.1564
2020-04-20,0.0000,0.0000,0.1538
2020-04-21,0.0000,0.0000,0.1529
2020-04-22,0.0000,0.0000,0.1512
2020-04-23,0.0000,0.0000,0.1470
2020-04-24,0.0000,0.0000,0.2447
2020-04-25,0.0000,0.0000,0.2281
2020-04-26,0.0000,0.0000,0.2262
2020-04-27,0.0000,0.0000,0.2341
2020-04-28,0.0000,0.0000,0.2361
2020-04-29,0.0000,0.0000,0.2403
2020-04-30,0.0000,0.0000,0.2539
2020-05-01,0.0000,0.0000,0.2447
2020-05-02,0.0000,0.0000,0.2639
2020-05-03,0.0000,0.0000,0.2665
2020-05-04,0.0000,0.0000,0.2665
2020-05-05,0.0000,0.0000,0.2665
2020-05-06,0.0000,0.0000,0.2613
2020-05-07,0.0000,0.0000,0.2613
2020-05-08,0.0000,0.0000,0.2564
2020-05-09,0.0000,0.0000,0.2564
2020-05-10,0.0000,0.0000,0.2564
2020-05-11,0.0000,0.0000,0.2564
2020-05-12,0.0000,0.0000,0.2564
2020-05-13,0.0000,0.0000,0.2613
2020-05-14,0.0000,0.0000,0.2613
2020-05-15,0.0000,0.0000,0.3131
2020-05-16,0.0000,0.0000,0.3131
2020-05-17,0.0000,0.0000,0.3131
2020-05-18,0.0000,0.0000,0.3131
2020-05-19,0.0000,0.0000,0.3131
2020-05-20,0.0000,0.0000,0.3131
2020-05-21,0.0000,0.0000,0.3095
2020-05-22,0.0000,0.0000,0.2895
2020-05-23,0.0000,0.0000,0.2895
2020-05-24,0.0000,0.0000,0.2895
2020-05-25,0.0000,0.0000,0.2895
2020-05-26,0.0000,0.0000,0.2895
2020-05-27,0.0000,0.0000,0.2895
2020-05-28,0.0000,0.0000,0.2926
2020-05-29,0.0000,0.0000,0.3205
2020-05-30,0.0000,0.0000,0.3205
2020-05-31,0.0000,0.0000,0.3205
2020-06-01,0.0000,0.0000,0.3205
2020-06-02,0.0000,0.0000,0.3205
2020-06-03,0.0000,0.0000,0.3205
2020-06-04,0.0000,0.0000,0.3205
2020-06-05,0.0000,0.0000,0.2224
2020-06-06,0.0000,0.0000,0.2224
2020-06-07,0.0000,0.0000,0.2224
2020-06-08,0.0000,0.0000,0.2224
2020-06-09,0.0000,0.0000,0.2224
2020-06-10,0.0000,0.0000,0.2224
2020-06-11,0.0000,0.0000,0.2224
2020-06-12,0.0000,0.0000,0.2895
2020-06-13,0.0000,0.0000,0.2895
2020-06-14,0.0000,0.0000,0.2895
2020-06-15,0.0000,0.0000,0.2895
