Dato,"Antal test, PCR","Antal test, Antigen"
2021-02-10,122960,7003
2021-02-11,152940,8978
2021-02-12,131566,9114
2021-02-13,90105,4804
2021-02-14,84945,4758
2021-02-15,130690,17006
2021-02-16,124599,16785
2021-02-17,124135,25940
2021-02-18,153807,29809
2021-02-19,128791,33966
2021-02-20,97624,21480
2021-02-21,96916,20114
2021-02-22,148821,25364
2021-02-23,139626,29217
2021-02-24,135900,29499
2021-02-25,168629,28108
2021-02-26,153366,35858
2021-02-27,120288,22313
2021-02-28,118142,24170
2021-03-01,168913,34943
2021-03-02,161158,37860
2021-03-03,156539,43588
2021-03-04,187078,55809
2021-03-05,155247,64149
2021-03-06,115482,38263
2021-03-07,121643,40097
2021-03-08,170436,63810
2021-03-09,155492,62415
2021-03-10,153602,57486
2021-03-11,186536,58639
2021-03-12,161223,60031
2021-03-13,131522,55623
2021-03-14,134738,72536
2021-03-15,188319,110155
2021-03-16,179905,116234
2021-03-17,167815,102988
2021-03-18,193845,123705
2021-03-19,164799,91431
2021-03-20,130659,56961
2021-03-21,135468,89449
2021-03-22,187780,132645
2021-03-23,180908,137643
2021-03-24,173665,119740
2021-03-25,191864,144288
2021-03-26,175053,130787
2021-03-27,120350,65219
2021-03-28,123458,63243
2021-03-29,187581,104485
2021-03-30,194725,113158
2021-03-31,194866,92384
2021-04-01,139653,101148
2021-04-02,113862,94704
2021-04-03,128678,81853
2021-04-04,166342,96932
2021-04-05,179381,191176
2021-04-06,208208,208445
2021-04-07,176611,185733
2021-04-08,192856,228749
2021-04-09,172698,185952
2021-04-10,151559,90401
2021-04-11,154065,158506
2021-04-12,204531,269306
2021-04-13,190837,219520
2021-04-14,182663,204764
2021-04-15,201256,247990
2021-04-16,167753,193671
2021-04-17,142493,72334
2021-04-18,150282,134387
2021-04-19,52265,183438
