"Døde pr. dag (eksperimentel statistik) efter køn, tid og alder"

" "," ","I alt"
"I alt"
" ","2007M01D01",147
" ","2007M01D02",179
" ","2007M01D03",171
" ","2007M01D04",187
" ","2007M01D05",168
" ","2007M01D06",152
" ","2007M01D07",169
" ","2007M01D08",195
" ","2007M01D09",163
" ","2007M01D10",169
" ","2007M01D11",170
" ","2007M01D12",188
" ","2007M01D13",155
" ","2007M01D14",169
" ","2007M01D15",152
" ","2007M01D16",160
" ","2007M01D17",159
" ","2007M01D18",144
" ","2007M01D19",163
" ","2007M01D20",147
" ","2007M01D21",138
" ","2007M01D22",144
" ","2007M01D23",131
" ","2007M01D24",136
" ","2007M01D25",155
" ","2007M01D26",166
" ","2007M01D27",136
" ","2007M01D28",154
" ","2007M01D29",146
" ","2007M01D30",161
" ","2007M01D31",157
" ","2007M02D01",162
" ","2007M02D02",166
" ","2007M02D03",164
" ","2007M02D04",154
" ","2007M02D05",173
" ","2007M02D06",167
" ","2007M02D07",142
" ","2007M02D08",152
" ","2007M02D09",178
" ","2007M02D10",148
" ","2007M02D11",152
" ","2007M02D12",164
" ","2007M02D13",151
" ","2007M02D14",171
" ","2007M02D15",155
" ","2007M02D16",146
" ","2007M02D17",176
" ","2007M02D18",156
" ","2007M02D19",154
" ","2007M02D20",191
" ","2007M02D21",182
" ","2007M02D22",174
" ","2007M02D23",188
" ","2007M02D24",187
" ","2007M02D25",180
" ","2007M02D26",178
" ","2007M02D27",178
" ","2007M02D28",184
" ","2007M03D01",194
" ","2007M03D02",161
" ","2007M03D03",188
" ","2007M03D04",173
" ","2007M03D05",163
" ","2007M03D06",185
" ","2007M03D07",188
" ","2007M03D08",191
" ","2007M03D09",169
" ","2007M03D10",158
" ","2007M03D11",130
" ","2007M03D12",170
" ","2007M03D13",183
" ","2007M03D14",198
" ","2007M03D15",173
" ","2007M03D16",172
" ","2007M03D17",177
" ","2007M03D18",167
" ","2007M03D19",183
" ","2007M03D20",157
" ","2007M03D21",167
" ","2007M03D22",160
" ","2007M03D23",172
" ","2007M03D24",155
