CountryCode,Year,Week,Sex,0-14,15-64,65-74,75-84,85+,Total,0-14,15-64,65-74,75-84,85+,Total,Split,SplitSex,Forecast
DNK,2007,1,m,2,143,100,176,115,536,0.000200680617667943,0.00408667055076774,0.0235973968062237,0.07988983120931,0.187782945816434,0.0103054938187504,0,0,0
DNK,2007,1,f,1,102,89,186,259,637,0.000105398182143766,0.00296956273455834,0.0191901055766335,0.0600339099557073,0.179900694013835,0.0120161337140771,0,0,0
DNK,2007,1,b,3,245,189,362,374,1173,0.000154210611197528,0.00353329874016647,0.0212944255550796,0.0682853592245735,0.182253006952292,0.0111689657472031,0,0,0
DNK,2007,2,m,3,124,127,171,138,563,0.000301020926501914,0.00354368635171468,0.0299686939439041,0.0776202337317728,0.225339534979721,0.0108246138432024,0,0,0
DNK,2007,2,f,2,77,94,202,271,646,0.000210796364287533,0.00224172873099012,0.0202682013955455,0.0651981172637251,0.188235861304051,0.0121859064039149,0,0,0
DNK,2007,2,b,5,201,221,373,409,1209,0.000257017685329213,0.0028987471296876,0.0248998309400667,0.0703603287037733,0.199308769634994,0.011511747304662,0,0,0
DNK,2007,3,m,3,144,102,166,107,522,0.000301020926501914,0.00411524866650737,0.0240693447423482,0.0753506362542356,0.174719784368334,0.0100363204727383,0,0,0
DNK,2007,3,f,2,80,86,142,231,541,0.000210796364287533,0.0023290688114183,0.0185432480852863,0.0458323398586582,0.160451970336664,0.0102052250224737,0,0,0
DNK,2007,3,b,5,224,188,308,338,1063,0.000257017685329213,0.00323044456243792,0.0211817566367988,0.0580991454175929,0.164709936764371,0.0101215776549675,0,0,0
DNK,2007,4,m,1,109,115,143,101,469,0.000100340308833971,0.00311501461562016,0.0271370063271572,0.0649104878575644,0.164922413282259,0.00901730709140664,0,0,0
DNK,2007,4,f,1,73,89,151,239,553,0.000105398182143766,0.0021252752904192,0.0191901055766335,0.0487372064694183,0.166008748530141,0.0104315886089241,0,0,0
DNK,2007,4,b,2,182,204,294,340,1022,0.000102807074131685,0.00262473620698081,0.0229844593292923,0.0554582751713387,0.165684551774811,0.00973118754786152,0,0,0
DNK,2007,5,m,8,130,117,174,120,549,0.00080272247067177,0.00371515504615249,0.0276089542632817,0.0789819922182952,0.195947421721496,0.0105554404971903,0,0,0
DNK,2007,5,f,3,77,91,164,226,561,0.000316194546431299,0.00224172873099012,0.0196213439041983,0.0529331249071828,0.15697898396574,0.0105824976665577,0,0,0
DNK,2007,5,b,11,207,208,338,346,1110,0.000565438907724269,0.0029852768947529,0.0234351350024157,0.0637581530881377,0.168608396806132,0.01056909802165,0,0,0
DNK,2007,6,m,3,160,97,164,131,555,0.000301020926501914,0.00457249851834152,0.022889474902037,0.0744427972632207,0.213909268712633,0.0106708005026241,0,0,0
DNK,2007,6,f,3,90,73,153,238,557,0.000316194546431299,0.00262020241284559,0.0157401989561151,0.0493827323829205,0.165314151255956,0.0105070431377409,0,0,0
DNK,2007,6,b,6,250,170,317,369,1112,0.000308421222395056,0.00360540687772089,0.0191537161077436,0.0597968477187564,0.179816469426192,0.0105881414415088,0,0,0
DNK,2007,7,m,3,111,114,166,130,524,0.000301020926501914,0.00317217084709943,0.026901032359095,0.0753506362542356,0.212276373531621,0.0100747738078829,0,0,0
DNK,2007,7,f,3,98,103,162,229,595,0.000316194546431299,0.00285310929398742,0.022208773869587,0.0522875989936805,0.159062775788294,0.0112238611615006,0,0,0
DNK,2007,7,b,6,209,217,328,359,1119,0.000308421222395056,0.00301412014977466,0.0244491552669433,0.0618718171979561,0.174943394373992,0.0106547934110147,0,0,0
DNK,2007,8,m,2,149,132,188,135,606,0.000200680617667943,0.00425813924520554,0.0311485637842153,0.0853368651553994,0.220440849436683,0.0116513605488111,0,0,0
DNK,2007,8,f,4,97,99,192,258,650,0.000421592728575065,0.00282399593384469,0.0213462972144575,0.061970487696214,0.17920609673965,0.0122613609327318,0,0,0
DNK,2007,8,b,6,246,231,380,393,1256,0.000308421222395056,0.00354772036767736,0.0260265201228751,0.0716807638269004,0.191511849551473,0.0119592676713445,0,0,0
DNK,2007,9,m,3,142,126,200,154,625,0.000301020926501914,0.0040580924350281,0.0297327199758418,0.0907838991014887,0.25146585787592,0.0120166672326847,0,0,0
DNK,2007,9,f,3,101,69,183,275,631,0.000316194546431299,0.00294044937441561,0.0148777223009855,0.0590656210854539,0.19101425040079,0.0119029519208519,0,0,0
DNK,2007,9,b,6,243,195,383,429,1256,0.000308421222395056,0.0035044554851447,0.0219704390647647,0.0722466645939549,0.209054919739394,0.0119592676713445,0,0,0
DNK,2007,10,m,7,145,115,178,142,587,0.000702382161837799,0.00414382678224701,0.0271370063271572,0.0807976702003249,0.231871115703771,0.0112860538649375,0,0,0
DNK,2007,10,f,3,101,82,166,245,597,0.000316194546431299,0.00294044937441561,0.0176807714301567,0.053578650820685,0.170176332175249,0.011261588425909,0,0,0
DNK,2007,10,b,10,246,197,344,387,1184,0.000514035370658427,0.00354772036767736,0.0221957769013264,0.0648899546222467,0.188588004520153,0.0112737045564267,0,0,0
DNK,2007,11,m,6,155,122,183,146,612,0.000602041853003828,0.00442960793964335,0.0287888241035929,0.0830672676778622,0.238402696427821,0.0117667205542449,0,0,0
DNK,2007,11,f,4,79,91,173,281,628,0.000421592728575065,0.00229995545127557,0.0196213439041983,0.0558379915179428,0.195181834045898,0.0118463610242393,0,0,0
DNK,2007,11,b,10,234,213,356,427,1240,0.000514035370658427,0.00337466083754675,0.0239984795938199,0.0671535576904646,0.208080304728954,0.0118069203124739,0,0,0
DNK,2007,12,m,5,143,102,170,118,538,0.000501701544169856,0.00408667055076774,0.0240693447423482,0.0771663142362654,0.192681631359471,0.010343947153895,0,0,0
DNK,2007,12,f,2,77,83,155,287,604,0.000210796364287533,0.00224172873099012,0.0178963905939391,0.0500282582964227,0.199349417691006,0.0113936338513384,0,0,0
DNK,2007,12,b,7,220,185,325,405,1142,0.000359824759460899,0.00317275805239438,0.0208437498819563,0.0613059164309016,0.197359539614113,0.0108737927393912,0,0,0
DNK,2007,13,m,3,141,116,176,134,570,0.000301020926501914,0.00402951431928847,0.0273729802952195,0.07988983120931,0.218807954255671,0.0109592005162085,0,0,0
DNK,2007,13,f,3,80,82,175,267,607,0.000316194546431299,0.0023290688114183,0.0176807714301567,0.056483517431445,0.185457472207312,0.011450224747951,0,0,0
DNK,2007,13,b,6,221,198,351,401,1177,0.000308421222395056,0.00318717967990527,0.0223084458196072,0.0662103897453738,0.195410309593233,0.0112070525869208,0,0,0
DNK,2007,14,m,7,147,112,156,116,538,0.000702382161837799,0.00420098301372628,0.0264290844229705,0.0708114412991612,0.189415840997446,0.010343947153895,0,0,0
DNK,2007,14,f,4,79,86,174,243,586,0.000421592728575065,0.00229995545127557,0.0185432480852863,0.0561607544746939,0.16878713762688,0.0110540884716628,0,0,0
DNK,2007,14,b,11,226,198,330,359,1124,0.000565438907724269,0.00325928781745968,0.0223084458196072,0.0622490843759924,0.174943394373992,0.0107024019606618,0,0,0
DNK,2007,15,m,2,133,105,158,111,509,0.000200680617667943,0.00380088939337139,0.0247772666465349,0.0717192802901761,0.181251365092384,0.00978637379429846,0,0,0
