Year,DK,SE,deaDK,deaSE,popDK,popSE
2000,10.879019361074777,10.547875317574722,57986.0,93461.0,5330076.0,8860647.02
2001,10.905785106045291,10.555314781921007,58338.0,93752.0,5349271.0,8881971.02
2002,10.917612170501771,10.665280961065688,58610.0,95009.0,5368390.0,8908251.02
2003,10.694501769661972,10.398446580068807,57574.0,92961.0,5383514.0,8939893.02
2004,10.338972531488327,10.087379287919225,55806.0,90532.0,5397635.0,8974779.02
2005,10.156683689950054,10.178071277844431,54962.0,91710.0,5411412.0,9010548.02
2006,10.230055095966993,10.078228750871476,55523.0,91177.0,5427439.0,9046927.02
2007,10.20809616362915,10.066384187217288,55604.0,91729.0,5447049.0,9112408.02
2008,9.969638723639335,9.959329096622168,54591.0,91449.0,5475725.0,9182245.02
2009,9.956190367324128,9.732397930326062,54872.0,90080.0,5511345.0,9255684.02
2010,9.823220693085604,9.688132207318274,54368.0,90487.0,5534641.0,9339984.02
2011,9.444454035887343,9.55269978735328,52516.0,89938.0,5560512.0,9414930.02
2012,9.376441969545603,9.69579079224423,52325.0,91937.99,5580475.0,9482258.02
2013,9.365293013013064,9.4608590956743,52470.0,90402.0,5602601.0,9555369.03
2014,9.123518472281582,9.225713847603316,51340.0,88977.01,5627215.0,9644458.03
2015,9.285801619727916,9.326643406237716,52555.0,90906.98,5659716.0,9747020.02
2016,9.255574870126013,9.23607149671579,52824.0,90982.01,5707263.0,9850726.04
2017,9.264758016230939,9.201902985200325,53261.0,91971.99,5748774.0,9994888.03
2018,9.553735785375824,9.109199676643161,55232.0,92185.01,5781194.0,10119990.04
2019,9.293339033091783,8.677044567594416,53958.0,88766.01,5806094.0,10229982.03
2020,9.384697370344082,9.501280549407104,54645.0,98124.0,5822777.0,10327450.02
2021,9.786219259461692,8.859796844877481,57152.0,91958.02,5840049.0,10379247.02
