location_id,location_name,parent_id,level,gbd_region_id,gbd_region_name,gbd_super_region_id,gbd_super_region_name,measure_name,metric_id,metric_name,mean_value,lower_ci,upper_ci
1,Global,1,0,NA,,NA,,covid_death_rate,3,Rate,39.2,NA,NA
1,Global,1,0,NA,,NA,,excess_deaths,1,Number,18200000,17100000,19600000
1,Global,1,0,NA,,NA,,excess_death_rate,3,Rate,120.3,113.1,129.3
1,Global,1,0,NA,,NA,,ratio_excess_over_covid,NA,NA,3.07,2.88,3.3
1,Global,1,0,NA,,NA,,reported_covid_deaths,1,Number,5940000,NA,NA
31,"Central Europe, eastern Europe, and central Asia",1,1,NA,,31,"Central Europe, Eastern Europe, and Central Asia",covid_death_rate,3,Rate,148.2,NA,NA
31,"Central Europe, eastern Europe, and central Asia",1,1,NA,,31,"Central Europe, Eastern Europe, and Central Asia",excess_deaths,1,Number,2340000,2310000,2380000
31,"Central Europe, eastern Europe, and central Asia",1,1,NA,,31,"Central Europe, Eastern Europe, and Central Asia",excess_death_rate,3,Rate,296.5,291.9,300.5
31,"Central Europe, eastern Europe, and central Asia",1,1,NA,,31,"Central Europe, Eastern Europe, and Central Asia",ratio_excess_over_covid,NA,NA,2,1.97,2.03
31,"Central Europe, eastern Europe, and central Asia",1,1,NA,,31,"Central Europe, Eastern Europe, and Central Asia",reported_covid_deaths,1,Number,1170000,NA,NA
32,Central Asia,31,2,32,Central Asia,31,"Central Europe, Eastern Europe, and Central Asia",covid_death_rate,3,Rate,30.2,NA,NA
32,Central Asia,31,2,32,Central Asia,31,"Central Europe, Eastern Europe, and Central Asia",excess_deaths,1,Number,281000,271000,292000
32,Central Asia,31,2,32,Central Asia,31,"Central Europe, Eastern Europe, and Central Asia",excess_death_rate,3,Rate,160.6,155,166.8
32,Central Asia,31,2,32,Central Asia,31,"Central Europe, Eastern Europe, and Central Asia",ratio_excess_over_covid,NA,NA,5.32,5.14,5.53
32,Central Asia,31,2,32,Central Asia,31,"Central Europe, Eastern Europe, and Central Asia",reported_covid_deaths,1,Number,52800,NA,NA
33,Armenia,32,3,32,Central Asia,31,"Central Europe, Eastern Europe, and Central Asia",covid_death_rate,3,Rate,140.9,NA,NA
33,Armenia,32,3,32,Central Asia,31,"Central Europe, Eastern Europe, and Central Asia",excess_deaths,1,Number,20600,19600,21900
33,Armenia,32,3,32,Central Asia,31,"Central Europe, Eastern Europe, and Central Asia",excess_death_rate,3,Rate,364.4,347,387.6
33,Armenia,32,3,32,Central Asia,31,"Central Europe, Eastern Europe, and Central Asia",ratio_excess_over_covid,NA,NA,2.59,2.46,2.75
33,Armenia,32,3,32,Central Asia,31,"Central Europe, Eastern Europe, and Central Asia",reported_covid_deaths,1,Number,7970,NA,NA
34,Azerbaijan,32,3,32,Central Asia,31,"Central Europe, Eastern Europe, and Central Asia",covid_death_rate,3,Rate,42.4,NA,NA
34,Azerbaijan,32,3,32,Central Asia,31,"Central Europe, Eastern Europe, and Central Asia",excess_deaths,1,Number,53500,51400,55600
34,Azerbaijan,32,3,32,Central Asia,31,"Central Europe, Eastern Europe, and Central Asia",excess_death_rate,3,Rate,271.5,260.8,282.2
34,Azerbaijan,32,3,32,Central Asia,31,"Central Europe, Eastern Europe, and Central Asia",ratio_excess_over_covid,NA,NA,6.4,6.15,6.66
34,Azerbaijan,32,3,32,Central Asia,31,"Central Europe, Eastern Europe, and Central Asia",reported_covid_deaths,1,Number,8360,NA,NA
35,Georgia,32,3,32,Central Asia,31,"Central Europe, Eastern Europe, and Central Asia",covid_death_rate,3,Rate,203,NA,NA
35,Georgia,32,3,32,Central Asia,31,"Central Europe, Eastern Europe, and Central Asia",excess_deaths,1,Number,15800,14100,18000
35,Georgia,32,3,32,Central Asia,31,"Central Europe, Eastern Europe, and Central Asia",excess_death_rate,3,Rate,233.1,207.6,264.4
35,Georgia,32,3,32,Central Asia,31,"Central Europe, Eastern Europe, and Central Asia",ratio_excess_over_covid,NA,NA,1.15,1.02,1.3
35,Georgia,32,3,32,Central Asia,31,"Central Europe, Eastern Europe, and Central Asia",reported_covid_deaths,1,Number,13800,NA,NA
