DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,DK,2020-01,-2.1,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,DK,2020-02,-7.0,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,DK,2020-03,-3.9,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,DK,2020-04,6.4,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,DK,2020-05,-0.9,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,DK,2020-06,0.8,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,DK,2020-07,2.2,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,DK,2020-08,1.5,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,DK,2020-09,4.2,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,DK,2020-10,1.8,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,DK,2020-11,5.5,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,DK,2020-12,10.6,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,DK,2021-01,10.8,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,DK,2021-02,-7.3,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,DK,2021-03,-12.1,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,DK,2021-04,-2.3,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,DK,2021-05,5.8,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,DK,2021-06,6.1,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,DK,2021-07,8.2,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,DK,2021-08,12.3,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,DK,2021-09,11.1,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,DK,2021-10,13.9,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,DK,2021-11,14.0,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,DK,2021-12,17.8,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,DK,2022-01,10.4,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,DK,2022-02,6.8,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,DK,2022-03,6.2,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,DK,2022-04,10.4,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,EU27_2020,2020-01,-5.7,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,EU27_2020,2020-02,-2.5,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,EU27_2020,2020-03,13.7,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,EU27_2020,2020-04,25.2,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,EU27_2020,2020-05,3.1,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,EU27_2020,2020-06,1.8,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,EU27_2020,2020-07,2.8,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,EU27_2020,2020-08,7.6,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,EU27_2020,2020-09,8.1,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,EU27_2020,2020-10,17.3,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,EU27_2020,2020-11,40.0,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,EU27_2020,2020-12,29.7,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,EU27_2020,2021-01,17.3,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,EU27_2020,2021-02,6.0,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,EU27_2020,2021-03,10.7,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,EU27_2020,2021-04,20.9,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,EU27_2020,2021-05,10.6,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,EU27_2020,2021-06,6.9,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,EU27_2020,2021-07,5.6,p
ESTAT:DEMO_MEXRT(1.0),15/06/22 11:00:00,M,PC,EU27_2020,2021-08,9.0,p
