date,m0,k0,m5,k5,m10,k10,m15,k15,m20,k20,m25,k25,m30,k30,m35,k35,m40,k40,m45,k45,m50,k50,m55,k55,m60,k60,m65,k65,m70,k70,m75,k75,m80,k80,m85,k85,mu,ku,ms,ks,ss
1918-07-17,0,2,0,0,1,1,2,0,7,1,5,3,2,0,2,1,1,1,2,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,25,11,36
1918-08-17,0,0,0,1,0,1,1,1,13,0,6,3,6,11,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,21,49
1918-09-17,0,0,0,0,0,3,2,0,2,1,2,5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,18
1918-10-17,27,22,11,12,10,16,31,27,71,54,62,74,87,77,49,47,15,18,11,6,3,6,2,5,3,2,0,3,0,2,1,1,0,0,0,0,0,1,383,373,756
1918-11-17,21,12,1,4,3,4,14,18,57,37,68,64,44,55,25,24,14,11,9,5,3,6,2,3,1,1,4,2,3,2,2,0,0,0,0,0,0,0,271,248,519
1918-12-17,8,7,3,3,1,4,5,8,28,11,37,25,17,18,10,8,14,4,6,6,1,2,0,3,1,1,1,1,0,0,2,2,0,1,0,1,0,0,134,105,239
1919-01-17,12,7,0,2,1,4,12,12,21,16,40,33,31,31,27,13,7,10,4,1,5,2,4,2,2,4,0,4,0,5,0,2,2,1,0,3,7,0,175,152,327
1919-02-17,8,5,1,0,0,2,7,2,9,11,22,10,10,10,6,9,2,3,0,4,2,2,3,2,1,3,2,2,0,2,1,2,1,1,0,0,0,0,75,70,145
1919-03-17,15,10,0,0,1,0,2,3,10,9,19,20,14,7,11,8,3,3,5,1,2,5,3,2,1,2,3,1,0,0,1,0,2,0,0,0,0,0,92,71,163
1919-04-17,5,4,0,0,0,0,5,0,8,0,9,6,3,7,4,3,2,1,1,1,1,4,1,0,0,1,1,2,1,1,0,1,0,1,0,2,0,0,41,34,75
1919-05-17,2,1,1,0,0,0,0,1,9,0,1,1,5,0,2,1,1,1,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,24,8,32
1919-06-17,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,5
