Date,Total,Delta,Omikron,Reinfections
2021-01-01,1203,1203.0,0.0,1
2021-01-02,2046,2046.0,0.0,6
2021-01-03,1670,1670.0,0.0,1
2021-01-04,2479,2479.0,0.0,3
2021-01-05,1929,1929.0,0.0,6
2021-01-06,1658,1658.0,0.0,3
2021-01-07,1588,1588.0,0.0,4
2021-01-08,1431,1431.0,0.0,6
2021-01-09,1193,1193.0,0.0,2
2021-01-10,990,990.0,0.0,0
2021-01-11,1353,1353.0,0.0,6
2021-01-12,1261,1261.0,0.0,7
2021-01-13,1116,1116.0,0.0,5
2021-01-14,1007,1007.0,0.0,6
2021-01-15,855,855.0,0.0,5
2021-01-16,719,719.0,0.0,2
2021-01-17,677,677.0,0.0,3
2021-01-18,932,932.0,0.0,8
2021-01-19,914,914.0,0.0,2
2021-01-20,776,776.0,0.0,3
2021-01-21,857,857.0,0.0,5
2021-01-22,715,715.0,0.0,5
2021-01-23,591,591.0,0.0,3
2021-01-24,514,514.0,0.0,2
2021-01-25,722,722.0,0.0,3
2021-01-26,683,683.0,0.0,6
2021-01-27,532,532.0,0.0,2
2021-01-28,502,502.0,0.0,4
2021-01-29,406,406.0,0.0,4
2021-01-30,361,361.0,0.0,4
2021-01-31,389,389.0,0.0,9
2021-02-01,506,506.0,0.0,6
2021-02-02,488,488.0,0.0,6
2021-02-03,428,428.0,0.0,4
2021-02-04,441,441.0,0.0,3
2021-02-05,408,408.0,0.0,4
2021-02-06,434,434.0,0.0,7
2021-02-07,389,389.0,0.0,2
2021-02-08,442,442.0,0.0,5
2021-02-09,460,460.0,0.0,3
2021-02-10,448,448.0,0.0,3
2021-02-11,377,377.0,0.0,9
2021-02-12,319,319.0,0.0,4
2021-02-13,332,332.0,0.0,1
2021-02-14,341,341.0,0.0,3
2021-02-15,405,405.0,0.0,7
2021-02-16,527,527.0,0.0,9
2021-02-17,509,509.0,0.0,4
2021-02-18,549,549.0,0.0,8
2021-02-19,466,466.0,0.0,9
2021-02-20,434,434.0,0.0,4
2021-02-21,474,474.0,0.0,2
2021-02-22,593,593.0,0.0,10
2021-02-23,614,614.0,0.0,14
2021-02-24,540,540.0,0.0,5
2021-02-25,547,547.0,0.0,10
2021-02-26,493,493.0,0.0,1
2021-02-27,425,425.0,0.0,3
2021-02-28,479,479.0,0.0,8
2021-03-01,597,597.0,0.0,6
2021-03-02,603,603.0,0.0,9
2021-03-03,548,548.0,0.0,8
2021-03-04,489,489.0,0.0,8
2021-03-05,473,473.0,0.0,9
2021-03-06,457,457.0,0.0,10
2021-03-07,459,459.0,0.0,7
2021-03-08,602,602.0,0.0,7
2021-03-09,642,642.0,0.0,4
2021-03-10,546,546.0,0.0,9
2021-03-11,588,588.0,0.0,8
2021-03-12,491,491.0,0.0,12
2021-03-13,464,464.0,0.0,3
2021-03-14,488,488.0,0.0,2
2021-03-15,644,644.0,0.0,10
