Uge,00-02,03-05,06-11,12-15,16-19,20-39,40-64,65-79,80+
2020-W09,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0
2020-W10,0.0,0.0,0.0,1.0,2.0,25.0,44.0,4.0,4.0
2020-W11,4.0,0.0,7.0,8.0,21.0,258.0,458.0,49.0,22.0
2020-W12,2.0,0.0,1.0,0.0,1.0,75.0,230.0,153.0,89.0
2020-W13,5.0,0.0,0.0,3.0,9.0,174.0,493.0,307.0,141.0
2020-W14,7.0,2.0,13.0,12.0,32.0,549.0,1037.0,281.0,210.0
2020-W15,11.0,5.0,21.0,18.0,48.0,509.0,708.0,185.0,128.0
2020-W16,8.0,2.0,18.0,15.0,28.0,352.0,507.0,117.0,126.0
2020-W17,3.0,10.0,31.0,23.0,48.0,396.0,488.0,150.0,138.0
2020-W18,16.0,16.0,39.0,32.0,33.0,314.0,368.0,84.0,77.0
2020-W19,15.0,5.0,28.0,25.0,21.0,203.0,263.0,61.0,38.0
2020-W20,9.0,9.0,17.0,13.0,24.0,151.0,147.0,39.0,24.0
2020-W21,9.0,8.0,17.0,8.0,12.0,136.0,139.0,34.0,21.0
2020-W22,6.0,4.0,11.0,5.0,20.0,96.0,95.0,40.0,23.0
2020-W23,6.0,5.0,12.0,10.0,8.0,80.0,85.0,30.0,12.0
2020-W24,3.0,5.0,19.0,4.0,12.0,86.0,87.0,38.0,17.0
2020-W25,2.0,4.0,15.0,13.0,17.0,103.0,126.0,32.0,10.0
2020-W26,8.0,4.0,9.0,7.0,4.0,55.0,49.0,40.0,16.0
2020-W27,2.0,1.0,5.0,4.0,6.0,43.0,41.0,13.0,8.0
2020-W28,3.0,0.0,6.0,6.0,13.0,69.0,59.0,11.0,5.0
2020-W29,3.0,2.0,12.0,14.0,20.0,84.0,98.0,23.0,12.0
2020-W30,2.0,5.0,8.0,14.0,17.0,68.0,101.0,22.0,6.0
2020-W31,4.0,5.0,8.0,18.0,23.0,210.0,182.0,29.0,6.0
2020-W32,7.0,16.0,47.0,50.0,76.0,339.0,292.0,52.0,7.0
2020-W33,11.0,14.0,52.0,58.0,108.0,358.0,249.0,39.0,9.0
2020-W34,11.0,15.0,49.0,39.0,73.0,256.0,146.0,23.0,9.0
2020-W35,5.0,6.0,20.0,32.0,53.0,250.0,182.0,42.0,8.0
2020-W36,14.0,17.0,50.0,75.0,73.0,559.0,397.0,84.0,17.0
2020-W37,31.0,25.0,137.0,171.0,156.0,714.0,766.0,184.0,43.0
2020-W38,21.0,33.0,131.0,142.0,309.0,1196.0,1054.0,225.0,71.0
2020-W39,33.0,56.0,215.0,203.0,382.0,1299.0,1124.0,230.0,74.0
2020-W40,38.0,56.0,162.0,180.0,284.0,912.0,926.0,202.0,43.0
2020-W41,28.0,29.0,129.0,197.0,235.0,850.0,928.0,213.0,70.0
2020-W42,35.0,41.0,142.0,170.0,262.0,1095.0,1039.0,286.0,77.0
2020-W43,75.0,80.0,295.0,304.0,625.0,2035.0,1878.0,394.0,92.0
2020-W44,85.0,109.0,474.0,581.0,673.0,2491.0,2463.0,488.0,116.0
2020-W45,120.0,161.0,497.0,573.0,540.0,2363.0,2473.0,500.0,115.0
2020-W46,108.0,118.0,512.0,493.0,618.0,2404.0,2535.0,493.0,140.0
2020-W47,99.0,133.0,551.0,674.0,687.0,2652.0,2784.0,576.0,215.0
2020-W48,86.0,139.0,561.0,648.0,838.0,2773.0,2869.0,602.0,209.0
2020-W49,114.0,200.0,799.0,1024.0,1333.0,4132.0,4127.0,765.0,250.0
2020-W50,252.0,295.0,1331.0,1521.0,1829.0,7716.0,7148.0,1360.0,457.0
2020-W51,344.0,466.0,1665.0,1319.0,1986.0,8005.0,8196.0,1998.0,661.0
2020-W52,319.0,418.0,1246.0,781.0,1060.0,5162.0,5857.0,1465.0,686.0
2020-W53,196.0,298.0,771.0,636.0,850.0,4490.0,4870.0,1518.0,842.0
