dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp
20/05/2021,20,5,2021,866,13,Austria,AT,AUT,8901064,Europe
19/05/2021,19,5,2021,630,11,Austria,AT,AUT,8901064,Europe
18/05/2021,18,5,2021,391,15,Austria,AT,AUT,8901064,Europe
17/05/2021,17,5,2021,676,6,Austria,AT,AUT,8901064,Europe
16/05/2021,16,5,2021,684,12,Austria,AT,AUT,8901064,Europe
15/05/2021,15,5,2021,721,14,Austria,AT,AUT,8901064,Europe
14/05/2021,14,5,2021,1100,11,Austria,AT,AUT,8901064,Europe
13/05/2021,13,5,2021,1179,14,Austria,AT,AUT,8901064,Europe
12/05/2021,12,5,2021,968,19,Austria,AT,AUT,8901064,Europe
11/05/2021,11,5,2021,670,16,Austria,AT,AUT,8901064,Europe
10/05/2021,10,5,2021,1009,11,Austria,AT,AUT,8901064,Europe
09/05/2021,9,5,2021,1251,14,Austria,AT,AUT,8901064,Europe
08/05/2021,8,5,2021,1383,23,Austria,AT,AUT,8901064,Europe
07/05/2021,7,5,2021,1220,8,Austria,AT,AUT,8901064,Europe
06/05/2021,6,5,2021,1682,26,Austria,AT,AUT,8901064,Europe
05/05/2021,5,5,2021,1297,25,Austria,AT,AUT,8901064,Europe
04/05/2021,4,5,2021,888,25,Austria,AT,AUT,8901064,Europe
03/05/2021,3,5,2021,1732,11,Austria,AT,AUT,8901064,Europe
02/05/2021,2,5,2021,1655,16,Austria,AT,AUT,8901064,Europe
01/05/2021,1,5,2021,2231,26,Austria,AT,AUT,8901064,Europe
30/04/2021,30,4,2021,1995,33,Austria,AT,AUT,8901064,Europe
29/04/2021,29,4,2021,2286,29,Austria,AT,AUT,8901064,Europe
28/04/2021,28,4,2021,1557,20,Austria,AT,AUT,8901064,Europe
27/04/2021,27,4,2021,1380,22,Austria,AT,AUT,8901064,Europe
26/04/2021,26,4,2021,2091,11,Austria,AT,AUT,8901064,Europe
25/04/2021,25,4,2021,2231,15,Austria,AT,AUT,8901064,Europe
24/04/2021,24,4,2021,2407,32,Austria,AT,AUT,8901064,Europe
23/04/2021,23,4,2021,2347,25,Austria,AT,AUT,8901064,Europe
22/04/2021,22,4,2021,2377,40,Austria,AT,AUT,8901064,Europe
21/04/2021,21,4,2021,2005,27,Austria,AT,AUT,8901064,Europe
20/04/2021,20,4,2021,1792,32,Austria,AT,AUT,8901064,Europe
19/04/2021,19,4,2021,2159,34,Austria,AT,AUT,8901064,Europe
18/04/2021,18,4,2021,2591,23,Austria,AT,AUT,8901064,Europe
17/04/2021,17,4,2021,2348,30,Austria,AT,AUT,8901064,Europe
16/04/2021,16,4,2021,2561,33,Austria,AT,AUT,8901064,Europe
15/04/2021,15,4,2021,2855,31,Austria,AT,AUT,8901064,Europe
14/04/2021,14,4,2021,2032,51,Austria,AT,AUT,8901064,Europe
13/04/2021,13,4,2021,1770,37,Austria,AT,AUT,8901064,Europe
12/04/2021,12,4,2021,2139,18,Austria,AT,AUT,8901064,Europe
11/04/2021,11,4,2021,3559,27,Austria,AT,AUT,8901064,Europe
10/04/2021,10,4,2021,2432,34,Austria,AT,AUT,8901064,Europe
09/04/2021,9,4,2021,3052,36,Austria,AT,AUT,8901064,Europe
08/04/2021,8,4,2021,3006,46,Austria,AT,AUT,8901064,Europe
