date,estimatedCases,estimatedCasesCILower,estimatedCasesCIUpper
2021-12-09,0,0,106
2021-12-10,0,0,110
2021-12-11,0,0,103
2021-12-12,0,0,94
2021-12-13,0,0,93
2021-12-14,0,0,96
2021-12-15,0,0,91
2021-12-16,0,0,91
2021-12-17,0,0,89
2021-12-18,0,0,90
2021-12-19,0,0,89
2021-12-20,0,0,90
2021-12-21,0,0,86
2021-12-22,0,0,85
2021-12-23,0,0,72
2021-12-24,0,0,74
2021-12-25,0,0,75
2021-12-26,0,0,68
2021-12-27,0,0,58
2021-12-28,0,0,60
2021-12-29,0,0,61
2021-12-30,0,0,62
2021-12-31,0,0,59
2022-01-01,0,0,59
2022-01-02,0,0,65
2022-01-03,0,0,80
2022-01-04,0,0,80
2022-01-05,0,0,86
2022-01-06,0,0,96
2022-01-07,0,0,105
2022-01-08,0,0,109
2022-01-09,0,0,120
2022-01-10,0,0,124
2022-01-11,0,0,135
2022-01-12,0,0,142
2022-01-13,0,0,146
2022-01-14,0,0,144
2022-01-15,0,0,145
2022-01-16,0,0,147
2022-01-17,0,0,153
2022-01-18,0,0,171
2022-01-19,0,0,191
2022-01-20,0,0,203
2022-01-21,0,0,225
2022-01-22,0,0,253
2022-01-23,0,0,278
2022-01-24,0,0,306
2022-01-25,0,0,293
2022-01-26,0,0,297
2022-01-27,0,0,304
2022-01-28,0,0,295
2022-01-29,0,0,296
2022-01-30,0,0,298
2022-01-31,0,0,265
2022-02-01,0,0,276
2022-02-02,0,0,287
2022-02-03,0,0,270
2022-02-04,0,0,265
2022-02-05,0,0,265
2022-02-06,0,0,264
2022-02-07,0,0,286
2022-02-08,0,0,283
2022-02-09,0,0,267
2022-02-10,0,0,281
2022-02-11,0,0,256
2022-02-12,0,0,240
2022-02-13,0,0,247
2022-02-14,0,0,230
2022-02-15,0,0,224
2022-02-16,0,0,225
2022-02-17,0,0,217
2022-02-18,0,0,236
2022-02-19,0,0,237
2022-02-20,0,0,224
2022-02-21,0,0,229
2022-02-22,0,0,235
2022-02-23,0,0,237
2022-02-24,0,0,242
2022-02-25,0,0,244
2022-02-26,0,0,249
2022-02-27,0,0,229
2022-02-28,0,0,225
2022-03-01,0,0,225
2022-03-02,0,0,218
2022-03-03,0,0,207
2022-03-04,0,0,201
2022-03-05,0,0,200
2022-03-06,0,0,205
2022-03-07,0,0,220
2022-03-08,0,0,225
2022-03-09,0,0,233
2022-03-10,0,0,247
2022-03-11,0,0,251
2022-03-12,0,0,266
2022-03-13,0,0,284
2022-03-14,0,0,290
2022-03-15,0,0,300
2022-03-16,0,0,307
2022-03-17,0,0,288
2022-03-18,0,0,294
2022-03-19,0,0,297
2022-03-20,0,0,318
2022-03-21,0,0,343
2022-03-22,0,0,364
2022-03-23,0,0,365
2022-03-24,0,0,395
2022-03-25,0,0,400
2022-03-26,0,0,417
2022-03-27,0,0,420
2022-03-28,0,0,471
2022-03-29,0,0,394
2022-03-30,0,0,389
2022-03-31,0,0,393
2022-04-01,0,0,384
2022-04-02,0,0,369
2022-04-03,0,0,420
2022-04-04,0,0,324
2022-04-05,0,0,366
2022-04-06,0,0,313
2022-04-07,0,0,284
2022-04-08,0,0,334
2022-04-09,23,2,354
2022-04-10,18,1,275
2022-04-11,27,2,295
2022-04-12,23,2,252
2022-04-13,31,4,268
2022-04-14,53,9,300
2022-04-15,45,8,254
2022-04-16,37,5,269
2022-04-17,48,8,305
2022-04-18,40,6,292
2022-04-19,55,9,349
2022-04-20,97,23,409
2022-04-21,90,20,401
2022-04-22,114,29,454
2022-04-23,116,33,405
2022-04-24,145,44,473
2022-04-25,174,60,498
2022-04-26,157,53,460
2022-04-27,135,43,429
2022-04-28,121,36,410
2022-04-29,142,46,439
2022-04-30,223,83,603
2022-05-01,171,63,462
2022-05-02,190,74,486
2022-05-03,205,82,511
2022-05-04,189,72,492
2022-05-05,201,80,508
2022-05-06,224,91,549
2022-05-07,264,113,615
2022-05-08,301,133,679
2022-05-09,304,134,687
2022-05-10,363,171,769
2022-05-11,388,185,809
2022-05-12,396,189,826
2022-05-13,474,241,931
2022-05-14,463,231,925
2022-05-15,454,228,902
2022-05-16,474,239,935
2022-05-17,460,225,937
2022-05-18,485,235,994
2022-05-19,512,252,1034
2022-05-20,484,228,1020
2022-05-21,428,185,981
2022-05-22,422,167,1055
2022-05-23,346,115,1024
2022-05-24,382,113,1263
2022-05-25,475,136,1612
2022-05-26,434,103,1756
2022-05-27,241,8,5654
2022-05-28,0,0,25941
2022-05-29,0,0,27072
2022-05-30,0,0,32321
2022-05-31,0,0,32463
2022-06-01,0,0,32115
2022-06-02,0,0,32452
2022-06-03,NaN,NaN,NaN
2022-06-03,NaN,NaN,NaN
