date,estimatedCases,estimatedCasesCILower,estimatedCasesCIUpper
2021-12-09,0.0000,0.0000,0.0192
2021-12-10,0.0000,0.0000,0.0198
2021-12-11,0.0000,0.0000,0.0190
2021-12-12,0.0000,0.0000,0.0184
2021-12-13,0.0000,0.0000,0.0218
2021-12-14,0.0000,0.0000,0.0221
2021-12-15,0.0000,0.0000,0.0233
2021-12-16,0.0000,0.0000,0.0231
2021-12-17,0.0000,0.0000,0.0232
2021-12-18,0.0000,0.0000,0.0242
2021-12-19,0.0000,0.0000,0.0262
2021-12-20,0.0000,0.0000,0.0226
2021-12-21,0.0000,0.0000,0.0250
2021-12-22,0.0000,0.0000,0.0256
2021-12-23,0.0000,0.0000,0.0255
2021-12-24,0.0000,0.0000,0.0326
2021-12-25,0.0000,0.0000,0.0345
2021-12-26,0.0000,0.0000,0.0336
2021-12-27,0.0000,0.0000,0.0362
2021-12-28,0.0000,0.0000,0.0401
2021-12-29,0.0000,0.0000,0.0398
2021-12-30,0.0000,0.0000,0.0395
2021-12-31,0.0000,0.0000,0.0326
2022-01-01,0.0000,0.0000,0.0315
2022-01-02,0.0000,0.0000,0.0315
2022-01-03,0.0000,0.0000,0.0322
2022-01-04,0.0000,0.0000,0.0310
2022-01-05,0.0000,0.0000,0.0305
2022-01-06,0.0000,0.0000,0.0315
2022-01-07,0.1429,0.0000,0.0350
2022-01-08,0.1429,0.0000,0.0396
2022-01-09,0.1429,0.0001,0.0410
2022-01-10,0.1429,0.0001,0.0428
2022-01-11,0.1429,0.0001,0.0450
2022-01-12,0.1429,0.0001,0.0452
2022-01-13,0.1429,0.0001,0.0446
2022-01-14,0.0000,0.0000,0.0398
2022-01-15,0.0000,0.0000,0.0370
2022-01-16,0.0000,0.0000,0.0372
2022-01-17,0.0000,0.0000,0.0371
2022-01-18,0.0000,0.0000,0.0363
2022-01-19,0.1429,0.0000,0.0394
2022-01-20,0.1429,0.0001,0.0405
2022-01-21,0.1429,0.0001,0.0452
2022-01-22,0.1429,0.0001,0.0515
2022-01-23,0.2857,0.0003,0.0619
2022-01-24,0.2857,0.0003,0.0584
2022-01-25,0.2857,0.0003,0.0570
2022-01-26,0.1429,0.0001,0.0546
2022-01-27,0.1429,0.0001,0.0564
2022-01-28,0.1429,0.0001,0.0609
2022-01-29,0.1429,0.0001,0.0598
2022-01-30,0.0000,0.0000,0.0571
2022-01-31,0.0000,0.0000,0.0676
2022-02-01,0.0000,0.0000,0.0808
2022-02-02,0.0000,0.0000,0.0879
2022-02-03,0.0000,0.0000,0.0891
2022-02-04,0.0000,0.0000,0.0876
2022-02-05,0.0000,0.0000,0.0931
2022-02-06,0.0000,0.0000,0.0865
2022-02-07,0.0000,0.0000,0.0876
2022-02-08,0.0000,0.0000,0.0849
2022-02-09,0.0000,0.0000,0.0841
2022-02-10,0.0000,0.0000,0.0833
2022-02-11,0.1429,0.0001,0.0825
2022-02-12,0.1429,0.0001,0.0844
2022-02-13,0.1429,0.0001,0.0834
2022-02-14,0.1429,0.0001,0.0770
