date,estimatedCases,estimatedCasesCILower,estimatedCasesCIUpper
2021-12-09,0,0,373
2021-12-10,0,0,405
2021-12-11,0,0,417
2021-12-12,0,0,421
2021-12-13,0,0,506
2021-12-14,0,0,517
2021-12-15,0,0,542
2021-12-16,0,0,463
2021-12-17,0,0,450
2021-12-18,0,0,440
2021-12-19,0,0,458
2021-12-20,0,0,382
2021-12-21,0,0,416
2021-12-22,0,0,422
2021-12-23,0,0,384
2021-12-24,0,0,469
2021-12-25,0,0,456
2021-12-26,0,0,386
2021-12-27,0,0,374
2021-12-28,0,0,374
2021-12-29,0,0,342
2021-12-30,0,0,332
2021-12-31,0,0,271
2022-01-01,0,0,265
2022-01-02,0,0,275
2022-01-03,0,0,267
2022-01-04,0,0,246
2022-01-05,0,0,233
2022-01-06,0,0,241
2022-01-07,9,0,265
2022-01-08,10,0,286
2022-01-09,10,0,271
2022-01-10,9,0,258
2022-01-11,9,0,246
2022-01-12,8,0,226
2022-01-13,8,0,212
2022-01-14,0,0,185
2022-01-15,0,0,161
2022-01-16,0,0,126
2022-01-17,0,0,138
2022-01-18,0,0,126
2022-01-19,5,0,128
2022-01-20,5,0,128
2022-01-21,5,0,140
2022-01-22,6,0,157
2022-01-23,16,1,228
2022-01-24,12,1,180
2022-01-25,12,1,178
2022-01-26,6,0,173
2022-01-27,7,0,181
2022-01-28,7,0,196
2022-01-29,7,0,191
2022-01-30,0,0,183
2022-01-31,0,0,208
2022-02-01,0,0,205
2022-02-02,0,0,258
2022-02-03,0,0,256
2022-02-04,0,0,250
2022-02-05,0,0,235
2022-02-06,0,0,233
2022-02-07,0,0,235
2022-02-08,0,0,262
2022-02-09,0,0,216
2022-02-10,0,0,212
2022-02-11,8,0,209
2022-02-12,9,0,232
2022-02-13,8,0,206
2022-02-14,7,0,189
2022-02-15,7,0,189
2022-02-16,7,0,187
2022-02-17,7,0,183
2022-02-18,6,0,171
2022-02-19,6,0,159
2022-02-20,6,0,160
2022-02-21,6,0,172
2022-02-22,6,0,172
2022-02-23,7,0,174
2022-02-24,7,0,176
2022-02-25,0,0,222
2022-02-26,10,0,249
2022-02-27,24,2,234
2022-02-28,22,2,211
2022-03-01,27,3,208
2022-03-02,31,4,205
2022-03-03,29,4,189
2022-03-04,37,7,179
2022-03-05,54,14,192
2022-03-06,49,12,190
2022-03-07,58,15,205
2022-03-08,53,13,194
2022-03-09,66,19,212
2022-03-10,80,26,234
2022-03-11,93,30,260
2022-03-12,112,39,291
2022-03-13,133,53,310
2022-03-14,138,56,313
2022-03-15,147,62,323
2022-03-16,142,60,312
2022-03-17,138,57,307
2022-03-18,145,57,332
2022-03-19,149,62,322
2022-03-20,148,65,309
2022-03-21,182,88,346
2022-03-22,206,107,366
2022-03-23,205,107,366
2022-03-24,206,108,363
2022-03-25,236,133,391
2022-03-26,274,153,454
2022-03-27,329,193,520
2022-03-28,365,221,558
2022-03-29,343,215,506
2022-03-30,284,180,415
2022-03-31,435,284,622
2022-04-01,419,279,589
2022-04-02,477,328,652
2022-04-03,500,348,678
2022-04-04,466,325,630
2022-04-05,542,382,730
2022-04-06,604,425,812
2022-04-07,438,305,595
2022-04-08,477,338,637
2022-04-09,444,319,586
2022-04-10,440,316,580
2022-04-11,485,348,638
2022-04-12,527,372,698
2022-04-13,541,386,711
2022-04-14,562,404,732
2022-04-15,584,401,782
2022-04-16,593,413,787
2022-04-17,725,540,915
2022-04-18,932,708,1159
2022-04-19,1158,910,1406
2022-04-20,1407,1125,1686
2022-04-21,1578,1266,1887
2022-04-22,1810,1508,2100
2022-04-23,2239,1901,2555
2022-04-24,2610,2194,2991
2022-04-25,2615,2234,2965
2022-04-26,2660,2269,3018
2022-04-27,2815,2396,3195
2022-04-28,2989,2557,3379
2022-04-29,2951,2473,3387
2022-04-30,2903,2436,3324
2022-05-01,2934,2491,3331
2022-05-02,3522,2966,4010
2022-05-03,3795,3196,4333
2022-05-04,4054,3436,4609
2022-05-05,4104,3464,4681
2022-05-06,4170,3513,4760
2022-05-07,4381,3597,5090
2022-05-08,4508,3610,5336
2022-05-09,4147,3185,5064
2022-05-10,4163,3039,5211
2022-05-11,3853,2477,5183
2022-05-12,3648,2245,5036
2022-05-13,3401,2070,4783
2022-05-14,2969,1681,4397
2022-05-15,3275,1928,4623
2022-05-16,2638,1560,3717
2022-05-17,3179,1812,4481
2022-05-18,2987,1687,4211
2022-05-19,2912,1617,4126
2022-05-20,3099,1664,4293
2022-05-21,3197,1615,4393
2022-05-22,2636,952,4075
2022-05-23,4384,1757,5157
2022-05-24,3056,1247,3681
2022-05-25,3041,1368,3563
2022-05-26,2827,1215,3356
2022-05-27,2976,1069,3324
2022-05-28,2661,741,3113
2022-05-29,2343,653,2740
2022-05-30,2208,338,2634
2022-05-31,2472,320,2472
2022-06-01,NaN,NaN,NaN
2022-06-01,NaN,NaN,NaN
2022-06-02,NaN,NaN,NaN
2022-06-02,NaN,NaN,NaN
2022-06-03,NaN,NaN,NaN
2022-06-03,NaN,NaN,NaN
