"Specimen received date";"Daily cases";"Cumulative cases"
"04 Jan";1;1
"29 Jan";1;2
"04 Mar";1;3
"07 Mar";2;5
"08 Mar";6;11
"09 Mar";3;14
"10 Mar";7;21
"11 Mar";10;31
"12 Mar";18;49
"13 Mar";15;64
"14 Mar";14;78
"15 Mar";22;100
"16 Mar";140;240
"17 Mar";144;384
"18 Mar";175;559
"19 Mar";151;710
"20 Mar";113;823
"21 Mar";83;906
"22 Mar";36;942
"23 Mar";148;1090
"24 Mar";77;1167
"25 Mar";58;1225
"26 Mar";53;1278
"27 Mar";64;1342
"28 Mar";37;1379
"29 Mar";24;1403
"30 Mar";61;1464
"31 Mar";67;1531
"01 Apr";48;1579
"02 Apr";63;1642
"03 Apr";72;1714
"04 Apr";53;1767
"05 Apr";76;1843
"06 Apr";98;1941
"07 Apr";81;2022
"08 Apr";98;2120
"09 Apr";115;2235
"10 Apr";85;2320
"11 Apr";136;2456
"12 Apr";67;2523
"13 Apr";69;2592
"14 Apr";128;2720
"15 Apr";153;2873
"16 Apr";271;3144
"17 Apr";216;3360
"18 Apr";207;3567
"19 Apr";117;3684
"20 Apr";236;3920
"21 Apr";358;4278
"22 Apr";286;4564
"23 Apr";331;4895
"24 Apr";329;5224
"25 Apr";238;5462
"26 Apr";276;5738
"27 Apr";169;5907
"28 Apr";362;6269
"29 Apr";492;6761
"30 Apr";406;7167
"01 May";372;7539
"02 May";394;7933
"03 May";371;8304
"04 May";634;8938
"05 May";874;9812
"06 May";1048;10860
"07 May";879;11739
"08 May";807;12546
"09 May";839;13385
"10 May";703;14088
"11 May";1034;15122
"12 May";1239;16361
"13 May";1274;17635
"14 May";1229;18864
"15 May";1085;19949
"16 May";932;20881
"17 May";728;21609
"18 May";1421;23030
"19 May";1528;24558
"20 May";1600;26158
"21 May";1620;27778
"22 May";1759;29537
"23 May";1322;30859
"24 May";692;31551
"25 May";1891;33442
"26 May";1878;35320
"27 May";1866;37186
"28 May";1993;39179
"29 May";2161;41340
"30 May";1444;42784
"31 May";1146;43930
"01 Jun";2366;46296
"02 Jun";2459;48755
"03 Jun";2484;51239
"04 Jun";2380;53619
"05 Jun";2542;56161
"06 Jun";1800;57961
"07 Jun";1330;59291
"08 Jun";3090;62381
"09 Jun";3588;65969
"10 Jun";3491;69460
"11 Jun";3779;73239
"12 Jun";4103;77342
"13 Jun";2325;79667
"14 Jun";1497;81164
"15 Jun";5610;86774
"16 Jun";2500;89274
"17 Jun";4903;94177
"18 Jun";6165;100342
"19 Jun";5954;106296
"20 Jun";4099;110395
"21 Jun";2168;112563
"22 Jun";7350;119913
"23 Jun";8299;128212
"24 Jun";8886;137098
"25 Jun";8948;146046
"26 Jun";9217;155263
"27 Jun";5537;160800
"28 Jun";3912;164712
"29 Jun";10789;175501
"30 Jun";12610;188111
"01 Jul";12404;200515
"02 Jul";12258;212773
"03 Jul";11748;224521
"04 Jul";6955;231476
"05 Jul";5053;236529
"06 Jul";12418;248947
"07 Jul";14634;263581
"08 Jul";13607;277188
"09 Jul";13369;290557
"10 Jul";14150;304707
"11 Jul";7986;312693
"12 Jul";4760;317453
"13 Jul";13960;331413
"14 Jul";14826;346239
"15 Jul";13428;359667
"16 Jul";12414;372081
"17 Jul";13215;385296
"18 Jul";8622;393918
"19 Jul";5411;399329
"20 Jul";14599;413928
"21 Jul";14709;428637
"22 Jul";13151;441788
"23 Jul";12225;454013
