bo_kom_today,sognekode,sogn,Inviterede_i_sognet,Antal_inviteret_ikke_booket,Andel_inviteret_ikke_booket,Andel_booket,Andel_påbegyndt,Andel_færdigvaccineret
Aabenraa,,,108,49,45%,0%,3%,52%
Aabenraa,9010,"Aabenraa,Aabenraa",14792,2087,14%,0%,1%,84%
Aabenraa,9011,"Hjordkær,Aabenraa",1694,227,13%,0%,1%,86%
Aabenraa,9012,"Løjt,Aabenraa",2983,339,11%,0%,1%,88%
Aabenraa,9013,"Bjolderup,Aabenraa",1484,244,16%,0%,1%,82%
Aabenraa,9014,"Rise,Aabenraa",5644,658,12%,0%,1%,87%
Aabenraa,9015,"Øster Løgum,Aabenraa",836,142,17%,0%,1%,82%
Aabenraa,9017,"Hellevad,Aabenraa",788,135,17%,0%,2%,81%
Aabenraa,9018,"Egvad,Aabenraa",350,61,17%,0%,1%,81%
Aabenraa,9021,"Varnæs,Aabenraa",1129,197,17%,0%,2%,80%
Aabenraa,9022,"Ensted,Aabenraa",2086,256,12%,0%,1%,87%
Aabenraa,9023,"Felsted,Aabenraa",1961,301,15%,0%,1%,84%
Aabenraa,9024,"Holbøl,Aabenraa",1267,253,20%,0%,1%,79%
Aabenraa,9026,"Uge,Aabenraa",438,99,23%,0%,0%,77%
Aabenraa,9027,"Kliplev,Aabenraa",1941,298,15%,0%,2%,83%
Aabenraa,9029,"Bov,Aabenraa",7107,1329,19%,0%,1%,80%
Aabenraa,9056,"Burkal,Aabenraa",1418,279,20%,0%,1%,79%
Aabenraa,9057,"Bylderup,Aabenraa",811,161,20%,0%,1%,79%
Aabenraa,9060,"Ravsted,Aabenraa",803,151,19%,0%,2%,79%
Aabenraa,9061,"Tinglev,Aabenraa",3054,521,17%,0%,1%,82%
Aabenraa,9260,"Genner,Aabenraa",821,107,13%,0%,1%,86%
Aalborg,,,538,240,45%,0%,4%,51%
Aalborg,8276,"Ejdrup,Aalborg",202,40,20%,0%,0%,80%
Aalborg,8318,"Gunderup,Aalborg",1386,190,14%,0%,1%,85%
Aalborg,8319,"Nøvling,Aalborg",1910,116,6%,0%,1%,93%
Aalborg,8323,"Lillevorde,Aalborg",322,48,15%,0%,1%,84%
Aalborg,8324,"Mou,Aalborg",2243,213,9%,0%,2%,88%
Aalborg,8325,"Storvorde,Aalborg",2667,228,9%,0%,1%,90%
Aalborg,8326,"Sejlflod,Aalborg",617,121,20%,0%,2%,78%
Aalborg,8327,"Nibe,Aalborg",3604,282,8%,0%,1%,91%
Aalborg,8328,"Vokslev,Aalborg",1536,125,8%,0%,1%,91%
Aalborg,8329,"Sønderholm,Aalborg",1448,151,10%,0%,1%,88%
Aalborg,8330,"Frejlev,Aalborg",2898,168,6%,0%,1%,93%
Aalborg,8331,"Nørholm,Aalborg",789,108,14%,0%,2%,85%
Aalborg,8332,"Ellidshøj,Aalborg",612,78,13%,0%,1%,86%
Aalborg,8333,"Svenstrup,Aalborg",4837,435,9%,0%,1%,90%
Aalborg,8342,"Bislev,Aalborg",567,67,12%,0%,1%,87%
Aalborg,8343,"S Kongerslev,Aalborg",1263,171,14%,0%,2%,85%
Aalborg,8344,"N Kongerslev,Aalborg",410,55,13%,0%,2%,84%
Aalborg,8345,"Komdrup,Aalborg",120,13,11%,0%,1%,88%
Aalborg,8356,"Sebber,Aalborg",682,68,10%,0%,1%,89%
Aalborg,8357,"St Ajstrup,Aalborg",154,30,19%,0%,1%,79%
Aalborg,8362,"Farstrup,Aalborg",824,117,14%,0%,2%,84%
Aalborg,8363,"Lundby,Aalborg",161,27,17%,0%,4%,80%
Aalborg,8364,"Domkirkens,Aalborg",7260,885,12%,0%,2%,85%
Aalborg,8365,"Ansgars,Aalborg",7657,832,11%,0%,2%,87%
Aalborg,8366,"Vor Frelsers,Aalborg",6499,892,14%,0%,3%,84%
Aalborg,8367,"Vesterkær,Aalborg",3493,429,12%,0%,2%,86%
Aalborg,8368,"Vor Frue,Aalborg",6677,813,12%,0%,2%,85%
Aalborg,8369,"Skt Markus,Aalborg",10200,1235,12%,0%,2%,86%
Aalborg,8370,"S Tranders,Aalborg",11196,1076,10%,0%,1%,89%
Aalborg,8371,"N Tranders,Aalborg",11481,1946,17%,0%,2%,81%
Aalborg,8372,"Vejgård,Aalborg",11098,1273,11%,0%,2%,87%
Aalborg,8373,"Hans Egedes,Aalborg",9823,1423,14%,0%,2%,83%
Aalborg,8374,"Hasseris,Aalborg",10160,648,6%,0%,1%,92%
Aalborg,8375,"Nørresundby,Aalborg",7441,1063,14%,0%,1%,84%
Aalborg,8376,"Hvorup,Aalborg",4879,620,13%,0%,1%,86%
Aalborg,8377,"Lindholm,Aalborg",9176,1283,14%,0%,2%,84%
Aalborg,8378,"Vadum,Aalborg",2671,275,10%,0%,1%,88%
Aalborg,8381,"Sulsted,Aalborg",4080,381,9%,0%,1%,89%
Aalborg,8382,"Ajstrup,Aalborg",1838,258,14%,0%,1%,85%
Aalborg,8383,"Horsens,Aalborg",1110,135,12%,0%,1%,86%
Aalborg,8384,"Hammer,Aalborg",1006,121,12%,0%,1%,87%
Aalborg,8385,"Vester Hassing,Aalbo",2840,278,10%,0%,1%,89%
Aalborg,8386,"Ulsted,Aalborg",1231,234,19%,0%,1%,80%
Aalborg,8387,"Hals,Aalborg",3228,297,9%,0%,1%,90%
Aalborg,8388,"Ferslev,Aalborg",799,76,10%,0%,1%,89%
Aalborg,8389,"Dall,Aalborg",1066,117,11%,0%,2%,88%
Aalborg,8390,"Volsted,Aalborg",180,28,16%,1%,2%,82%
Aalborg,9076,"Skalborg,Aalborg",7310,914,13%,0%,2%,86%
Aalborg,9107,"Godthåb,Aalborg",1771,142,8%,0%,2%,90%
Aalborg,9110,"Margrethe,Aalborg",2896,340,12%,0%,2%,87%
